Kind,Name,PercentLackOfCohesionModified,PercentLackOfCohesion,LCOM,CohesionLevel
Static Class,org.apache.commons.collections.ExtendedProperties.PropertiesReader,0,0,0,High
Static Class,org.apache.commons.collections.ExtendedProperties.PropertiesTokenizer,0,0,0,High
Public Class,org.apache.commons.collections.FactoryUtils,0,0,0,High
Public Class,org.apache.commons.collections.FastArrayList,9,9,9,High
Private Class,org.apache.commons.collections.FastArrayList.ListIter,42,42,42,Medium
Private Class,org.apache.commons.collections.FastArrayList.SubList,11,49,49,Medium
Private Class,org.apache.commons.collections.FastArrayList.SubList.SubListIter,25,42,42,Medium
Public Class,org.apache.commons.collections.FastHashMap,29,29,29,Medium
Private Abstract Class,org.apache.commons.collections.FastHashMap.CollectionView,0,0,0,High
Private Class,org.apache.commons.collections.FastHashMap.CollectionView.CollectionViewIterator,17,17,17,High
Private Class,org.apache.commons.collections.FastHashMap.EntrySet,0,0,0,High
Private Class,org.apache.commons.collections.FastHashMap.KeySet,0,0,0,High
Private Class,org.apache.commons.collections.FastHashMap.Values,0,0,0,High
Public Class,org.apache.commons.collections.FastTreeMap,22,22,22,High
Private Abstract Class,org.apache.commons.collections.FastTreeMap.CollectionView,0,0,0,High
Private Class,org.apache.commons.collections.FastTreeMap.CollectionView.CollectionViewIterator,17,17,17,High
Private Class,org.apache.commons.collections.FastTreeMap.EntrySet,0,0,0,High
Private Class,org.apache.commons.collections.FastTreeMap.KeySet,0,0,0,High
Private Class,org.apache.commons.collections.FastTreeMap.Values,0,0,0,High
Public Class,org.apache.commons.collections.FunctorException,13,25,25,High
Public Class,org.apache.commons.collections.HashBag,0,0,0,High
Public Class,org.apache.commons.collections.IteratorUtils,0,0,0,High
Public Class,org.apache.commons.collections.LRUMap,30,40,40,Medium
Public Class,org.apache.commons.collections.ListUtils,0,0,0,High
Public Class,org.apache.commons.collections.MapPerformance,0,0,0,High
Private Static Class,org.apache.commons.collections.MapPerformance.DummyMap,0,0,0,High
Public Class,org.apache.commons.collections.MapUtils,0,0,0,High
Public Class,org.apache.commons.collections.MultiHashMap,95,95,95,Very Low
Private Class,org.apache.commons.collections.MultiHashMap.ValueIterator,20,50,50,Medium
Private Class,org.apache.commons.collections.MultiHashMap.Values,0,0,0,High
Public Class,org.apache.commons.collections.PredicateUtils,0,0,0,High
Public Abstract Class,org.apache.commons.collections.ProxyMap,0,0,0,High
Public Class,org.apache.commons.collections.ReferenceMap,73,87,87,Very Low
Private Class,org.apache.commons.collections.ReferenceMap.Entry,50,66,66,Low
Private Class,org.apache.commons.collections.ReferenceMap.EntryIterator,43,63,63,Low
Private Class,org.apache.commons.collections.ReferenceMap.KeyIterator,0,0,0,High
Private Static Class,org.apache.commons.collections.ReferenceMap.SoftRef,0,0,0,High
Private Class,org.apache.commons.collections.ReferenceMap.ValueIterator,0,0,0,High
Private Static Class,org.apache.commons.collections.ReferenceMap.WeakRef,0,0,0,High
Anonymous Class,org.apache.commons.collections.ReferenceMap.entrySet.(Anon_1),0,0,0,High
Anonymous Class,org.apache.commons.collections.ReferenceMap.keySet.(Anon_2),0,0,0,High
Anonymous Class,org.apache.commons.collections.ReferenceMap.values.(Anon_3),0,0,0,High
Public Class,org.apache.commons.collections.SequencedHashMap,55,73,73,Low
Private Static Class,org.apache.commons.collections.SequencedHashMap.Entry,61,82,82,Very Low
Private Class,org.apache.commons.collections.SequencedHashMap.OrderedIterator,33,33,33,Medium
Anonymous Class,org.apache.commons.collections.SequencedHashMap.entrySet.(Anon_3),0,0,0,High
Anonymous Class,org.apache.commons.collections.SequencedHashMap.keySet.(Anon_1),0,0,0,High
Anonymous Class,org.apache.commons.collections.SequencedHashMap.values.(Anon_2),0,0,0,High
Public Class,org.apache.commons.collections.SetUtils,0,0,0,High
Public Final Class,org.apache.commons.collections.StaticBucketMap,24,45,45,Medium
Private Class,org.apache.commons.collections.StaticBucketMap.EntryIterator,25,58,58,Low
Private Class,org.apache.commons.collections.StaticBucketMap.EntrySet,0,0,0,High
Private Class,org.apache.commons.collections.StaticBucketMap.KeyIterator,0,0,0,High
Private Class,org.apache.commons.collections.StaticBucketMap.KeySet,0,0,0,High
Private Static Final Class,org.apache.commons.collections.StaticBucketMap.Lock,0,0,0,High
Private Static Final Class,org.apache.commons.collections.StaticBucketMap.Node,53,53,53,Low
Private Class,org.apache.commons.collections.StaticBucketMap.ValueIterator,0,0,0,High
Private Class,org.apache.commons.collections.StaticBucketMap.Values,0,0,0,High
Public Final Class,org.apache.commons.collections.SynchronizedPriorityQueue,0,0,0,High
Public Class,org.apache.commons.collections.TransformerUtils,0,0,0,High
Public Class,org.apache.commons.collections.TreeBag,0,0,0,High
Public Class,org.apache.commons.collections.UnboundedFifoBuffer,23,50,50,Medium
Anonymous Class,org.apache.commons.collections.UnboundedFifoBuffer.iterator.(Anon_1),17,17,17,High
Public Abstract Class,org.apache.commons.collections.bag.AbstractBagDecorator,0,0,0,High
Public Abstract Class,org.apache.commons.collections.bag.AbstractMapBag,61,75,75,Low
Static Class,org.apache.commons.collections.bag.AbstractMapBag.BagIterator,25,25,25,High
Protected Static Class,org.apache.commons.collections.bag.AbstractMapBag.MutableInteger,0,0,0,High
Public Abstract Class,org.apache.commons.collections.bag.AbstractSortedBagDecorator,0,0,0,High
Public Class,org.apache.commons.collections.bag.HashBag,0,0,0,High
Public Class,org.apache.commons.collections.bag.PredicatedBag,0,0,0,High
Public Class,org.apache.commons.collections.bag.PredicatedSortedBag,0,0,0,High
Public Class,org.apache.commons.collections.bag.SynchronizedBag,0,0,0,High
Class,org.apache.commons.collections.bag.SynchronizedBag.SynchronizedBagSet,0,0,0,High
Public Class,org.apache.commons.collections.bag.SynchronizedSortedBag,0,0,0,High
Public Class,org.apache.commons.collections.bag.TransformedBag,0,0,0,High
Public Class,org.apache.commons.collections.bag.TransformedSortedBag,0,0,0,High
Public Class,org.apache.commons.collections.bag.TreeBag,0,0,0,High
Public Class,org.apache.commons.collections.bag.TypedBag,0,0,0,High
Public Class,org.apache.commons.collections.bag.TypedSortedBag,0,0,0,High
Public Final Class,org.apache.commons.collections.bag.UnmodifiableBag,0,0,0,High
Public Final Class,org.apache.commons.collections.bag.UnmodifiableSortedBag,0,0,0,High
Public Abstract Class,org.apache.commons.collections.bidimap.AbstractBidiMapDecorator,0,0,0,High
Public Abstract Class,org.apache.commons.collections.bidimap.AbstractDualBidiMap,83,83,83,Very Low
Protected Static Class,org.apache.commons.collections.bidimap.AbstractDualBidiMap.BidiMapIterator,47,47,47,Medium
Protected Static Class,org.apache.commons.collections.bidimap.AbstractDualBidiMap.EntrySet,0,0,0,High
Protected Static Class,org.apache.commons.collections.bidimap.AbstractDualBidiMap.EntrySetIterator,22,22,22,High
Protected Static Class,org.apache.commons.collections.bidimap.AbstractDualBidiMap.KeySet,0,0,0,High
Protected Static Class,org.apache.commons.collections.bidimap.AbstractDualBidiMap.KeySetIterator,33,33,33,Medium
Protected Static Class,org.apache.commons.collections.bidimap.AbstractDualBidiMap.MapEntry,0,0,0,High
Protected Static Class,org.apache.commons.collections.bidimap.AbstractDualBidiMap.Values,0,0,0,High
Protected Static Class,org.apache.commons.collections.bidimap.AbstractDualBidiMap.ValuesIterator,33,33,33,Medium
Protected Static Abstract Class,org.apache.commons.collections.bidimap.AbstractDualBidiMap.View,0,0,0,High
Public Abstract Class,org.apache.commons.collections.bidimap.AbstractOrderedBidiMapDecorator,0,0,0,High
Public Abstract Class,org.apache.commons.collections.bidimap.AbstractSortedBidiMapDecorator,0,0,0,High
Public Class,org.apache.commons.collections.bidimap.DualHashBidiMap,0,0,0,High
Public Class,org.apache.commons.collections.bidimap.DualTreeBidiMap,67,72,72,Low
Protected Static Class,org.apache.commons.collections.bidimap.DualTreeBidiMap.BidiOrderedMapIterator,42,42,42,Medium
Protected Static Class,org.apache.commons.collections.bidimap.DualTreeBidiMap.ViewMap,17,17,17,High
Public Class,org.apache.commons.collections.bidimap.TreeBidiMap,87,94,94,Very Low
Static Class,org.apache.commons.collections.bidimap.TreeBidiMap.EntryView,0,0,0,High
Static Class,org.apache.commons.collections.bidimap.TreeBidiMap.Inverse,73,73,73,Low
Static Class,org.apache.commons.collections.bidimap.TreeBidiMap.Node,81,81,81,Very Low
Static Class,org.apache.commons.collections.bidimap.TreeBidiMap.View,33,33,33,Medium
Static Class,org.apache.commons.collections.bidimap.TreeBidiMap.ViewIterator,37,41,41,Medium
Static Class,org.apache.commons.collections.bidimap.TreeBidiMap.ViewMapIterator,50,50,50,Medium
Public Final Class,org.apache.commons.collections.bidimap.UnmodifiableBidiMap,92,92,92,Very Low
Public Final Class,org.apache.commons.collections.bidimap.UnmodifiableOrderedBidiMap,86,93,93,Very Low
Public Final Class,org.apache.commons.collections.bidimap.UnmodifiableSortedBidiMap,83,94,94,Very Low
Public Abstract Class,org.apache.commons.collections.buffer.AbstractBufferDecorator,0,0,0,High
Public Class,org.apache.commons.collections.buffer.BlockingBuffer,40,60,60,Low
Public Class,org.apache.commons.collections.buffer.BoundedBuffer,30,75,75,Low
Private Class,org.apache.commons.collections.buffer.BoundedBuffer.NotifyingIterator,0,0,0,High
Public Class,org.apache.commons.collections.buffer.BoundedFifoBuffer,41,63,63,Low
Anonymous Class,org.apache.commons.collections.buffer.BoundedFifoBuffer.iterator.(Anon_1),22,22,22,High
Public Class,org.apache.commons.collections.buffer.CircularFifoBuffer,0,0,0,High
Public Class,org.apache.commons.collections.buffer.PredicatedBuffer,0,0,0,High
Public Class,org.apache.commons.collections.buffer.PriorityBuffer,42,72,72,Low
Anonymous Class,org.apache.commons.collections.buffer.PriorityBuffer.iterator.(Anon_1),17,17,17,High
Public Class,org.apache.commons.collections.buffer.SynchronizedBuffer,0,0,0,High
Public Class,org.apache.commons.collections.buffer.TransformedBuffer,0,0,0,High
Public Class,org.apache.commons.collections.buffer.TypedBuffer,0,0,0,High
Public Class,org.apache.commons.collections.buffer.UnboundedFifoBuffer,19,50,50,Medium
Anonymous Class,org.apache.commons.collections.buffer.UnboundedFifoBuffer.iterator.(Anon_1),17,17,17,High
Public Final Class,org.apache.commons.collections.buffer.UnmodifiableBuffer,0,0,0,High
Public Abstract Class,org.apache.commons.collections.collection.AbstractCollectionDecorator,5,5,5,High
Public Abstract Class,org.apache.commons.collections.collection.AbstractSerializableCollectionDecorator,0,0,0,High
Public Class,org.apache.commons.collections.collection.CompositeCollection,46,59,59,Low
Public Class,org.apache.commons.collections.collection.PredicatedCollection,0,60,60,Low
Public Class,org.apache.commons.collections.collection.SynchronizedCollection,3,8,8,High
Public Class,org.apache.commons.collections.collection.TransformedCollection,33,67,67,Low
Public Class,org.apache.commons.collections.collection.TypedCollection,0,0,0,High
Public Final Class,org.apache.commons.collections.collection.UnmodifiableBoundedCollection,0,0,0,High
Public Final Class,org.apache.commons.collections.collection.UnmodifiableCollection,0,0,0,High
Public Final Class,org.apache.commons.collections.comparators.BooleanComparator,30,50,50,Medium
Public Class,org.apache.commons.collections.comparators.ComparableComparator,0,0,0,High
Public Class,org.apache.commons.collections.comparators.ComparatorChain,35,61,61,Low
Public Class,org.apache.commons.collections.comparators.FixedOrderComparator,53,78,78,Very Low
Public Class,org.apache.commons.collections.comparators.NullComparator,0,43,43,Medium
Public Class,org.apache.commons.collections.comparators.ReverseComparator,0,20,20,High
Public Class,org.apache.commons.collections.comparators.TransformingComparator,0,33,33,Medium
Public Final Class,org.apache.commons.collections.functors.AllPredicate,0,40,40,Medium
Public Final Class,org.apache.commons.collections.functors.AndPredicate,0,25,25,High
Public Final Class,org.apache.commons.collections.functors.AnyPredicate,0,40,40,Medium
Public Class,org.apache.commons.collections.functors.ChainedClosure,0,50,50,Medium
Public Class,org.apache.commons.collections.functors.ChainedTransformer,0,50,50,Medium
Public Class,org.apache.commons.collections.functors.CloneTransformer,0,0,0,High
Public Class,org.apache.commons.collections.functors.ClosureTransformer,0,25,25,High
Public Class,org.apache.commons.collections.functors.ConstantFactory,0,25,25,High
Public Class,org.apache.commons.collections.functors.ConstantTransformer,0,25,25,High
Public Final Class,org.apache.commons.collections.functors.EqualPredicate,0,25,25,High
Public Final Class,org.apache.commons.collections.functors.ExceptionClosure,0,0,0,High
Public Final Class,org.apache.commons.collections.functors.ExceptionFactory,0,0,0,High
Public Final Class,org.apache.commons.collections.functors.ExceptionPredicate,0,0,0,High
Public Final Class,org.apache.commons.collections.functors.ExceptionTransformer,0,0,0,High
Public Class,org.apache.commons.collections.functors.FactoryTransformer,0,25,25,High
Public Final Class,org.apache.commons.collections.functors.FalsePredicate,0,0,0,High
Public Class,org.apache.commons.collections.functors.ForClosure,20,40,40,Medium
Class,org.apache.commons.collections.functors.FunctorUtils,0,0,0,High
Public Final Class,org.apache.commons.collections.functors.IdentityPredicate,0,25,25,High
Public Class,org.apache.commons.collections.functors.IfClosure,25,63,63,Low
Public Final Class,org.apache.commons.collections.functors.InstanceofPredicate,0,25,25,High
Public Class,org.apache.commons.collections.functors.InstantiateFactory,5,45,45,Medium
Public Class,org.apache.commons.collections.functors.InstantiateTransformer,0,25,25,High
Public Class,org.apache.commons.collections.functors.InvokerTransformer,0,40,40,Medium
Public Final Class,org.apache.commons.collections.functors.MapTransformer,0,25,25,High
Public Class,org.apache.commons.collections.functors.NOPClosure,0,0,0,High
Public Class,org.apache.commons.collections.functors.NOPTransformer,0,0,0,High
Public Final Class,org.apache.commons.collections.functors.NonePredicate,0,40,40,Medium
Public Final Class,org.apache.commons.collections.functors.NotNullPredicate,0,0,0,High
Public Final Class,org.apache.commons.collections.functors.NotPredicate,0,25,25,High
Public Final Class,org.apache.commons.collections.functors.NullIsExceptionPredicate,0,25,25,High
Public Final Class,org.apache.commons.collections.functors.NullIsFalsePredicate,0,25,25,High
Public Final Class,org.apache.commons.collections.functors.NullIsTruePredicate,0,25,25,High
Public Final Class,org.apache.commons.collections.functors.NullPredicate,0,0,0,High
Public Final Class,org.apache.commons.collections.functors.OnePredicate,0,40,40,Medium
Public Final Class,org.apache.commons.collections.functors.OrPredicate,0,25,25,High
Public Class,org.apache.commons.collections.functors.PredicateTransformer,0,25,25,High
Public Class,org.apache.commons.collections.functors.PrototypeFactory,0,0,0,High
Static Class,org.apache.commons.collections.functors.PrototypeFactory.PrototypeCloneFactory,0,0,0,High
Static Class,org.apache.commons.collections.functors.PrototypeFactory.PrototypeSerializationFactory,0,0,0,High
Public Final Class,org.apache.commons.collections.functors.StringValueTransformer,0,0,0,High
Public Class,org.apache.commons.collections.functors.SwitchClosure,29,57,57,Low
Public Class,org.apache.commons.collections.functors.SwitchTransformer,29,57,57,Low
Public Final Class,org.apache.commons.collections.functors.TransformedPredicate,20,40,40,Medium
Public Class,org.apache.commons.collections.functors.TransformerClosure,0,25,25,High
Public Final Class,org.apache.commons.collections.functors.TransformerPredicate,0,25,25,High
Public Final Class,org.apache.commons.collections.functors.TruePredicate,0,0,0,High
Public Final Class,org.apache.commons.collections.functors.UniquePredicate,67,67,67,Low
Public Class,org.apache.commons.collections.functors.WhileClosure,33,50,50,Medium
Abstract Class,org.apache.commons.collections.iterators.AbstractEmptyIterator,0,0,0,High
Public Class,org.apache.commons.collections.iterators.AbstractIteratorDecorator,0,0,0,High
Public Class,org.apache.commons.collections.iterators.AbstractListIteratorDecorator,0,0,0,High
Public Class,org.apache.commons.collections.iterators.AbstractMapIteratorDecorator,0,0,0,High
Public Class,org.apache.commons.collections.iterators.AbstractOrderedMapIteratorDecorator,0,0,0,High
Public Class,org.apache.commons.collections.iterators.ArrayIterator,43,61,61,Low
Public Class,org.apache.commons.collections.iterators.ArrayListIterator,67,67,67,Low
Public Class,org.apache.commons.collections.iterators.CollatingIterator,54,77,77,Very Low
Public Class,org.apache.commons.collections.iterators.EmptyIterator,0,0,0,High
Public Class,org.apache.commons.collections.iterators.EmptyListIterator,0,0,0,High
Public Class,org.apache.commons.collections.iterators.EmptyMapIterator,0,0,0,High
Public Class,org.apache.commons.collections.iterators.EmptyOrderedIterator,0,0,0,High
Public Class,org.apache.commons.collections.iterators.EmptyOrderedMapIterator,0,0,0,High
Public Class,org.apache.commons.collections.iterators.EntrySetMapIterator,53,53,53,Low
Public Class,org.apache.commons.collections.iterators.EnumerationIterator,33,58,58,Low
Public Class,org.apache.commons.collections.iterators.FilterIterator,43,55,55,Low
Public Class,org.apache.commons.collections.iterators.FilterListIterator,65,78,78,Very Low
Public Class,org.apache.commons.collections.iterators.IteratorChain,55,79,79,Very Low
Public Class,org.apache.commons.collections.iterators.IteratorEnumeration,17,17,17,High
Public Class,org.apache.commons.collections.iterators.ListIteratorWrapper,68,68,68,Low
Public Class,org.apache.commons.collections.iterators.LoopingIterator,25,33,33,Medium
Public Class,org.apache.commons.collections.iterators.LoopingListIterator,25,29,29,Medium
Public Class,org.apache.commons.collections.iterators.ObjectArrayIterator,46,65,65,Low
Public Class,org.apache.commons.collections.iterators.ObjectArrayListIterator,67,67,67,Low
Public Class,org.apache.commons.collections.iterators.ObjectGraphIterator,38,63,63,Low
Public Class,org.apache.commons.collections.iterators.ProxyIterator,14,57,57,Low
Public Class,org.apache.commons.collections.iterators.ProxyListIterator,8,77,77,Very Low
Public Class,org.apache.commons.collections.iterators.ReverseListIterator,45,45,45,Medium
Public Class,org.apache.commons.collections.iterators.SingletonIterator,42,50,50,Medium
Public Class,org.apache.commons.collections.iterators.SingletonListIterator,50,50,50,Medium
Public Class,org.apache.commons.collections.iterators.TransformIterator,45,50,50,Medium
Public Class,org.apache.commons.collections.iterators.UniqueFilterIterator,0,0,0,High
Public Final Class,org.apache.commons.collections.iterators.UnmodifiableIterator,20,40,40,Medium
Public Final Class,org.apache.commons.collections.iterators.UnmodifiableListIterator,27,36,36,Medium
Public Final Class,org.apache.commons.collections.iterators.UnmodifiableMapIterator,25,38,38,Medium
Public Final Class,org.apache.commons.collections.iterators.UnmodifiableOrderedMapIterator,20,30,30,Medium
Public Abstract Class,org.apache.commons.collections.keyvalue.AbstractKeyValue,25,50,50,Medium
Public Abstract Class,org.apache.commons.collections.keyvalue.AbstractMapEntry,0,0,0,High
Public Abstract Class,org.apache.commons.collections.keyvalue.AbstractMapEntryDecorator,0,0,0,High
Public Class,org.apache.commons.collections.keyvalue.DefaultKeyValue,0,0,0,High
Public Final Class,org.apache.commons.collections.keyvalue.DefaultMapEntry,0,0,0,High
Public Class,org.apache.commons.collections.keyvalue.MultiKey,25,67,67,Low
Public Class,org.apache.commons.collections.keyvalue.TiedMapEntry,7,43,43,Medium
Public Final Class,org.apache.commons.collections.keyvalue.UnmodifiableMapEntry,0,0,0,High
Public Abstract Class,org.apache.commons.collections.list.AbstractLinkedList,50,83,83,Very Low
Protected Static Class,org.apache.commons.collections.list.AbstractLinkedList.LinkedListIterator,40,53,53,Low
Protected Static Class,org.apache.commons.collections.list.AbstractLinkedList.LinkedSubList,20,43,43,Medium
Protected Static Class,org.apache.commons.collections.list.AbstractLinkedList.LinkedSubListIterator,17,17,17,High
Protected Static Class,org.apache.commons.collections.list.AbstractLinkedList.Node,56,56,56,Low
Public Abstract Class,org.apache.commons.collections.list.AbstractListDecorator,0,0,0,High
Public Abstract Class,org.apache.commons.collections.list.AbstractSerializableListDecorator,0,0,0,High
Public Class,org.apache.commons.collections.list.CursorableLinkedList,25,70,70,Low
Public Static Class,org.apache.commons.collections.list.CursorableLinkedList.Cursor,67,70,70,Low
Protected Static Class,org.apache.commons.collections.list.CursorableLinkedList.SubCursor,17,17,17,High
Public Class,org.apache.commons.collections.list.FixedSizeList,0,0,0,High
Static Class,org.apache.commons.collections.list.FixedSizeList.FixedSizeListIterator,0,0,0,High
Public Class,org.apache.commons.collections.list.GrowthList,0,0,0,High
Public Class,org.apache.commons.collections.list.LazyList,0,25,25,High
Public Class,org.apache.commons.collections.list.NodeCachingLinkedList,40,67,67,Low
Public Class,org.apache.commons.collections.list.PredicatedList,0,0,0,High
Protected Class,org.apache.commons.collections.list.PredicatedList.PredicatedListIterator,0,0,0,High
Public Class,org.apache.commons.collections.list.SetUniqueList,11,21,21,High
Static Class,org.apache.commons.collections.list.SetUniqueList.SetListIterator,33,33,33,Medium
Static Class,org.apache.commons.collections.list.SetUniqueList.SetListListIterator,50,50,50,Medium
Public Class,org.apache.commons.collections.list.SynchronizedList,0,0,0,High
Public Class,org.apache.commons.collections.list.TransformedList,0,0,0,High
Protected Class,org.apache.commons.collections.list.TransformedList.TransformedListIterator,0,0,0,High
Public Class,org.apache.commons.collections.list.TreeList,37,63,63,Low
Static Class,org.apache.commons.collections.list.TreeList.AVLNode,35,70,70,Low
Static Class,org.apache.commons.collections.list.TreeList.TreeListIterator,42,50,50,Medium
Public Class,org.apache.commons.collections.list.TypedList,0,0,0,High
Public Final Class,org.apache.commons.collections.list.UnmodifiableList,0,0,0,High
Public Class,org.apache.commons.collections.map.AbstractHashedMap,79,87,87,Very Low
Protected Static Class,org.apache.commons.collections.map.AbstractHashedMap.EntrySet,0,0,0,High
Protected Static Class,org.apache.commons.collections.map.AbstractHashedMap.EntrySetIterator,0,0,0,High
Protected Static Class,org.apache.commons.collections.map.AbstractHashedMap.HashEntry,54,75,75,Low
Protected Static Abstract Class,org.apache.commons.collections.map.AbstractHashedMap.HashIterator,50,50,50,Medium
Protected Static Class,org.apache.commons.collections.map.AbstractHashedMap.HashMapIterator,0,0,0,High
Protected Static Class,org.apache.commons.collections.map.AbstractHashedMap.KeySet,0,0,0,High
Protected Static Class,org.apache.commons.collections.map.AbstractHashedMap.KeySetIterator,0,0,0,High
Protected Static Class,org.apache.commons.collections.map.AbstractHashedMap.Values,0,0,0,High
Protected Static Class,org.apache.commons.collections.map.AbstractHashedMap.ValuesIterator,0,0,0,High
Abstract Class,org.apache.commons.collections.map.AbstractInputCheckedMapDecorator,0,0,0,High
Static Class,org.apache.commons.collections.map.AbstractInputCheckedMapDecorator.EntrySet,0,0,0,High
Static Class,org.apache.commons.collections.map.AbstractInputCheckedMapDecorator.EntrySetIterator,0,0,0,High
Static Class,org.apache.commons.collections.map.AbstractInputCheckedMapDecorator.MapEntry,0,0,0,High
Public Class,org.apache.commons.collections.map.AbstractLinkedMap,61,61,61,Low
Protected Static Class,org.apache.commons.collections.map.AbstractLinkedMap.EntrySetIterator,0,0,0,High
Protected Static Class,org.apache.commons.collections.map.AbstractLinkedMap.KeySetIterator,0,0,0,High
Protected Static Class,org.apache.commons.collections.map.AbstractLinkedMap.LinkEntry,100,100,100,Very Low
Protected Static Abstract Class,org.apache.commons.collections.map.AbstractLinkedMap.LinkIterator,36,36,36,Medium
Protected Static Class,org.apache.commons.collections.map.AbstractLinkedMap.LinkMapIterator,0,0,0,High
Protected Static Class,org.apache.commons.collections.map.AbstractLinkedMap.ValuesIterator,0,0,0,High
Public Abstract Class,org.apache.commons.collections.map.AbstractMapDecorator,6,6,6,High
Public Abstract Class,org.apache.commons.collections.map.AbstractOrderedMapDecorator,0,0,0,High
Public Abstract Class,org.apache.commons.collections.map.AbstractReferenceMap,80,89,89,Very Low
Protected Static Class,org.apache.commons.collections.map.AbstractReferenceMap.ReferenceEntry,11,11,11,High
Static Class,org.apache.commons.collections.map.AbstractReferenceMap.ReferenceEntrySet,0,0,0,High
Static Class,org.apache.commons.collections.map.AbstractReferenceMap.ReferenceEntrySetIterator,43,64,64,Low
Static Class,org.apache.commons.collections.map.AbstractReferenceMap.ReferenceKeySet,0,0,0,High
