Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,Essential,MaxCyclomatic,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumEssential,LCOM,CohesionLevel
Public Method,org.apache.commons.collections.ArrayStack.empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,11.0,0.0,3.0,1.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.67,1,1,,
Public Method,org.apache.commons.collections.ArrayStack.get,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0,0.0,7.0,2.0,4.0,6.0,4.0,3.0,5.0,2.0,4.0,2.0,1.0,,,,1.0,,,0.86,2,1,,
Public Method,org.apache.commons.collections.ArrayStack.peek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,0.0,8.0,2.0,5.0,6.0,3.0,3.0,5.0,2.0,4.0,2.0,1.0,,,,1.0,,,0.75,2,1,,
Public Method,org.apache.commons.collections.ArrayStack.peek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,0.0,8.0,2.0,5.0,9.0,3.0,3.0,5.0,2.0,4.0,2.0,1.0,,,,1.0,,,1.13,2,1,,
Public Method,org.apache.commons.collections.ArrayStack.pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,14.0,0.0,8.0,2.0,5.0,6.0,3.0,3.0,5.0,2.0,4.0,2.0,1.0,,,,1.0,,,0.75,2,1,,
Public Method,org.apache.commons.collections.ArrayStack.push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,11.0,0.0,4.0,1.0,2.0,7.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,,,,0.0,,,1.75,1,1,,
Public Method,org.apache.commons.collections.ArrayStack.remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0,0.0,7.0,2.0,4.0,6.0,4.0,3.0,5.0,2.0,4.0,2.0,1.0,,,,1.0,,,0.86,2,1,,
Public Method,org.apache.commons.collections.ArrayStack.search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,25.0,0.0,14.0,4.0,10.0,13.0,4.0,7.0,10.0,4.0,8.0,3.0,3.0,,,,2.0,,,0.93,3,3,,
Abstract Method,org.apache.commons.collections.Bag.add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,17.0,0.0,1.0,1.0,0.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,16.0,0,0,,
Abstract Method,org.apache.commons.collections.Bag.add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,0.0,1.0,1.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,11.0,0,0,,
Abstract Method,org.apache.commons.collections.Bag.containsAll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,0.0,1.0,1.0,0.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,16.0,0,0,,
Abstract Method,org.apache.commons.collections.Bag.getCount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,9.0,0.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,8.0,0,0,,
Abstract Method,org.apache.commons.collections.Bag.iterator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,7.0,0,0,,
Abstract Method,org.apache.commons.collections.Bag.remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,13.0,0.0,1.0,1.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,12.0,0,0,,
Abstract Method,org.apache.commons.collections.Bag.remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,0.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,10.0,0,0,,
Abstract Method,org.apache.commons.collections.Bag.removeAll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,17.0,0.0,1.0,1.0,0.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,16.0,0,0,,
Abstract Method,org.apache.commons.collections.Bag.retainAll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,20.0,0.0,1.0,1.0,0.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,19.0,0,0,,
Abstract Method,org.apache.commons.collections.Bag.size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,6.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,5.0,0,0,,
Abstract Method,org.apache.commons.collections.Bag.uniqueSet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,7.0,0,0,,
Public Static Method,org.apache.commons.collections.BagUtils.predicatedBag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,0.0,3.0,1.0,1.0,13.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,4.33,1,1,,
Public Static Method,org.apache.commons.collections.BagUtils.predicatedSortedBag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,0.0,3.0,1.0,1.0,13.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,4.33,1,1,,
Public Static Method,org.apache.commons.collections.BagUtils.synchronizedBag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,29.0,0.0,3.0,1.0,1.0,26.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,8.67,1,1,,
Public Static Method,org.apache.commons.collections.BagUtils.synchronizedSortedBag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,30.0,0.0,3.0,1.0,1.0,27.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,9.0,1,1,,
Public Static Method,org.apache.commons.collections.BagUtils.transformedBag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,15.0,0.0,3.0,1.0,1.0,12.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,4.0,1,1,,
Public Static Method,org.apache.commons.collections.BagUtils.transformedSortedBag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,15.0,0.0,3.0,1.0,1.0,12.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,4.0,1,1,,
Public Static Method,org.apache.commons.collections.BagUtils.typedBag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,12.0,0.0,3.0,1.0,1.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,3.0,1,1,,
Public Static Method,org.apache.commons.collections.BagUtils.typedSortedBag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,12.0,0.0,3.0,1.0,1.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,3.0,1,1,,
Public Static Method,org.apache.commons.collections.BagUtils.unmodifiableBag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,0.0,3.0,1.0,1.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,3.0,1,1,,
Public Static Method,org.apache.commons.collections.BagUtils.unmodifiableSortedBag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,0.0,3.0,1.0,1.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,3.0,1,1,,
Public Method,org.apache.commons.collections.BeanMap.(Anon_1).transform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.BeanMap.(Anon_2).transform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.BeanMap.(Anon_3).transform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.BeanMap.(Anon_4).transform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.BeanMap.(Anon_5).transform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.BeanMap.(Anon_6).transform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.BeanMap.(Anon_7).transform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.BeanMap.(Anon_8).transform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.BeanMap.MyMapEntry.setValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,15.0,1.0,8.0,4.0,6.0,6.0,5.0,6.0,7.0,4.0,6.0,1.0,1.0,,,,0.0,,,0.75,1,1,,
Public Method,org.apache.commons.collections.BeanMap.clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,20.0,1.0,11.0,2.0,7.0,8.0,3.0,5.0,8.0,2.0,6.0,3.0,1.0,,,,1.0,,,0.73,3,1,,
Public Method,org.apache.commons.collections.BeanMap.clone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,71.0,5.0,37.0,6.0,29.0,29.0,13.0,14.0,21.0,6.0,18.0,7.0,1.0,,,,3.0,,,0.78,7,1,,
Public Method,org.apache.commons.collections.BeanMap.containsKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,19.0,0.0,4.0,2.0,2.0,15.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,0.0,,,3.75,1,1,,
Public Method,org.apache.commons.collections.BeanMap.containsValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,0.0,3.0,1.0,1.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,3.0,1,1,,
Protected Method,org.apache.commons.collections.BeanMap.convertType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,50.0,1.0,16.0,6.0,10.0,33.0,6.0,7.0,10.0,5.0,7.0,3.0,3.0,,,,2.0,,,2.06,3,3,,
Protected Method,org.apache.commons.collections.BeanMap.createWriteMethodArguments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,37.0,0.0,23.0,4.0,15.0,14.0,7.0,9.0,14.0,4.0,11.0,6.0,3.0,,,,4.0,,,0.61,6,3,,
Public Method,org.apache.commons.collections.BeanMap.entryIterator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,21.0,0.0,16.0,4.0,11.0,5.0,2.0,7.0,11.0,7.0,7.0,1.0,1.0,,,,0.0,,,0.31,1,1,,
Public Method,org.apache.commons.collections.BeanMap.entryIterator.(Anon_11).hasNext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.BeanMap.entryIterator.(Anon_11).next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,0.0,5.0,2.0,4.0,0.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.BeanMap.entryIterator.(Anon_11).remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.BeanMap.entrySet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,10.0,1.0,6.0,7.0,2.0,3.0,6.0,3.0,3.0,1.0,1.0,,,,0.0,,,0.7,1,1,,
Public Method,org.apache.commons.collections.BeanMap.entrySet.(Anon_9).iterator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.BeanMap.entrySet.(Anon_9).size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Protected Method,org.apache.commons.collections.BeanMap.firePropertyChange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,0.0,2.0,1.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,,,4.5,1,1,,
Public Method,org.apache.commons.collections.BeanMap.get,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,38.0,0.0,23.0,2.0,14.0,15.0,4.0,7.0,11.0,2.0,10.0,7.0,7.0,,,,3.0,,,0.65,7,7,,
Public Method,org.apache.commons.collections.BeanMap.getBean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,0.0,3.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.0,1,1,,
Public Method,org.apache.commons.collections.BeanMap.getReadMethod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,0.0,3.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.0,1,1,,
Protected Method,org.apache.commons.collections.BeanMap.getReadMethod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,11.0,0.0,3.0,1.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.67,1,1,,
Public Method,org.apache.commons.collections.BeanMap.getType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,0.0,3.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.33,1,1,,
Protected Method,org.apache.commons.collections.BeanMap.getTypeTransformer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,0.0,3.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.33,1,1,,
Public Method,org.apache.commons.collections.BeanMap.getWriteMethod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,0.0,3.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.0,1,1,,
Protected Method,org.apache.commons.collections.BeanMap.getWriteMethod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,0.0,3.0,1.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.67,1,1,,
Private Method,org.apache.commons.collections.BeanMap.initialise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,32.0,2.0,29.0,9.0,20.0,1.0,10.0,15.0,23.0,10.0,20.0,8.0,1.0,,,,5.0,,,0.03,8,1,,
Public Method,org.apache.commons.collections.BeanMap.keyIterator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,0.0,3.0,1.0,1.0,7.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.33,1,1,,
Public Method,org.apache.commons.collections.BeanMap.keySet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13.0,0.0,3.0,1.0,1.0,10.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,3.33,1,1,,
Protected Method,org.apache.commons.collections.BeanMap.logInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,0.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.33,1,1,,
Protected Method,org.apache.commons.collections.BeanMap.logWarn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,11.0,0.0,4.0,1.0,2.0,7.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,,,,0.0,,,1.75,1,1,,
Public Method,org.apache.commons.collections.BeanMap.put,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,37.0,1.0,25.0,5.0,18.0,11.0,10.0,13.0,17.0,5.0,16.0,5.0,1.0,,,,2.0,,,0.44,5,1,,
Public Method,org.apache.commons.collections.BeanMap.putAllWriteable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,15.0,0.0,9.0,3.0,5.0,6.0,7.0,3.0,6.0,3.0,5.0,3.0,1.0,,,,2.0,,,0.67,3,1,,
Protected Method,org.apache.commons.collections.BeanMap.reinitialise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,10.0,0.0,6.0,1.0,4.0,4.0,2.0,4.0,5.0,1.0,4.0,1.0,1.0,,,,0.0,,,0.67,1,1,,
Public Method,org.apache.commons.collections.BeanMap.setBean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,0.0,4.0,1.0,2.0,6.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,,,,0.0,,,1.5,1,1,,
Public Method,org.apache.commons.collections.BeanMap.size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,0.0,3.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,1.67,1,1,,
