Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,Essential,MaxCyclomatic,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumEssential,LCOM,CohesionLevel
Private Method,org.jfree.chart.ChartPanel.drawSelectionShape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,31.0,0.0,19.0,2.0,13.0,12.0,7.0,9.0,14.0,2.0,13.0,5.0,1.0,,,,2.0,,,0.63,5,1,0.63,Medium
Private Method,org.jfree.chart.ChartPanel.drawZoomRectangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,30.0,0.0,18.0,1.0,11.0,12.0,5.0,6.0,11.0,1.0,10.0,5.0,1.0,,,,2.0,,,0.67,5,1,0.67,Medium
Public Method,org.jfree.chart.ChartPanel.getAnchor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,1.67,1,1,1.67,Very Low
Public Method,org.jfree.chart.ChartPanel.getChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,1.67,1,1,1.67,Very Low
Public Method,org.jfree.chart.ChartPanel.getChartRenderingInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,1.67,1,1,1.67,Very Low
Public Method,org.jfree.chart.ChartPanel.getDefaultDirectoryForSaveAs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,0.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.33,1,1,2.33,Very Low
Public Method,org.jfree.chart.ChartPanel.getDismissDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,0.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.67,1,1,2.67,Very Low
Public Method,org.jfree.chart.ChartPanel.getEntityForPoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,24.0,2.0,11.0,6.0,8.0,11.0,4.0,7.0,9.0,6.0,5.0,3.0,1.0,,,,1.0,,,1.0,3,1,1.0,Low
Public Method,org.jfree.chart.ChartPanel.getFillZoomRectangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,0.0,3.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.0,1,1,2.0,Very Low
Public Method,org.jfree.chart.ChartPanel.getInitialDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,0.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.33,1,1,2.33,Very Low
Public Method,org.jfree.chart.ChartPanel.getListeners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,17.0,0.0,8.0,1.0,4.0,9.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0,,,,1.0,,,1.13,2,1,1.13,Very Low
Public Method,org.jfree.chart.ChartPanel.getMaximumDrawHeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,11.0,0.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.67,1,1,2.67,Very Low
Public Method,org.jfree.chart.ChartPanel.getMaximumDrawWidth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,11.0,0.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.67,1,1,2.67,Very Low
Public Method,org.jfree.chart.ChartPanel.getMinimumDrawHeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,11.0,0.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.67,1,1,2.67,Very Low
Public Method,org.jfree.chart.ChartPanel.getMinimumDrawWidth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,11.0,0.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.67,1,1,2.67,Very Low
Public Method,org.jfree.chart.ChartPanel.getOrientation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,0.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.33,1,1,2.33,Very Low
Public Method,org.jfree.chart.ChartPanel.getPopupMenu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,1.67,1,1,1.67,Very Low
Public Method,org.jfree.chart.ChartPanel.getRefreshBuffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,0.0,3.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.0,1,1,2.0,Very Low
Public Method,org.jfree.chart.ChartPanel.getReshowDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,0.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.33,1,1,2.33,Very Low
Public Method,org.jfree.chart.ChartPanel.getScaleX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,0.0,3.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.0,1,1,2.0,Very Low
Public Method,org.jfree.chart.ChartPanel.getScaleY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,0.0,3.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.0,1,1,2.0,Very Low
Public Method,org.jfree.chart.ChartPanel.getScreenDataArea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,15.0,0.0,9.0,7.0,7.0,6.0,8.0,7.0,8.0,7.0,7.0,1.0,1.0,,,,0.0,,,0.67,1,1,0.67,Medium
Public Method,org.jfree.chart.ChartPanel.getScreenDataArea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,27.0,0.0,16.0,5.0,10.0,11.0,9.0,8.0,11.0,5.0,9.0,3.0,3.0,,,,2.0,,,0.69,3,3,0.69,Medium
Public Method,org.jfree.chart.ChartPanel.getSelectionFillPaint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,0.0,3.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,3.0,1,1,3.0,Very Low
Public Method,org.jfree.chart.ChartPanel.getSelectionOutlinePaint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,0.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.33,1,1,2.33,Very Low
Public Method,org.jfree.chart.ChartPanel.getSelectionOutlineStroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,0.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.33,1,1,2.33,Very Low
Public Method,org.jfree.chart.ChartPanel.getSelectionShape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,0.0,3.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,3.0,1,1,3.0,Very Low
