Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,Essential,MaxCyclomatic,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumEssential
Anonymous Class,org.jfree.chart.StandardChartTheme.createLegacyTheme.(Anon_1),3.0,0.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,94.0,0.0,0.0,0.0,1.0,,4.0,0.0,3.0,1.0,2.0,1.0,,0.0,1.0,1.0,0.0,,,1.0,1.0,2.0,0.0,0.0,0.0,0.33,1,1
Public Abstract Class,org.jfree.chart.annotations.AbstractAnnotation,12.0,0.0,4.0,8.0,1.0,1.0,,,,,4.0,11.0,11.0,3.0,,0.0,0.0,,,,11.0,2.0,11.0,11.0,0.0,2.0,3.0,6.0,,167.0,16.0,54.0,19.0,23.0,97.0,,21.0,37.0,18.0,22.0,,,3.0,1.0,1.0,2.0,55.0,45.0,1.8,15,11
Public Abstract Class,org.jfree.chart.annotations.AbstractXYAnnotation,14.0,0.0,7.0,7.0,2.0,2.0,,,,,2.0,11.0,11.0,9.0,,0.0,0.0,,,,9.0,2.0,9.0,20.0,0.0,0.0,2.0,7.0,,152.0,12.0,66.0,23.0,31.0,74.0,,25.0,42.0,16.0,28.0,,,5.0,5.0,2.0,1.0,38.0,38.0,1.12,16,14
Public Interface,org.jfree.chart.annotations.Annotation,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,3.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,17.0,3.0,4.0,3.0,0.0,10.0,,2.0,3.0,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0
Public Interface,org.jfree.chart.annotations.CategoryAnnotation,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,6.0,6.0,2.0,,0.0,0.0,,,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,,18.0,2.0,5.0,4.0,0.0,11.0,,1.0,2.0,2.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,2.2,0,0
Public Class,org.jfree.chart.annotations.CategoryLineAnnotation,17.0,0.0,9.0,8.0,2.0,1.0,,,,,5.0,28.0,28.0,0.0,,0.0,1.0,,,,19.0,6.0,19.0,30.0,0.0,2.0,0.0,17.0,,369.0,30.0,182.0,50.0,113.0,157.0,,89.0,127.0,41.0,95.0,,,9.0,9.0,2.0,1.0,65.0,65.0,0.86,37,27
Public Class,org.jfree.chart.annotations.CategoryPointerAnnotation,16.0,1.0,8.0,8.0,2.0,1.0,,,,,4.0,30.0,30.0,0.0,,0.0,6.0,,,,23.0,8.0,23.0,62.0,0.0,2.0,0.0,21.0,,469.0,50.0,210.0,77.0,136.0,210.0,,120.0,158.0,64.0,117.0,,,12.0,12.0,4.0,1.0,72.0,72.0,1.0,37,34
Public Class,org.jfree.chart.annotations.CategoryTextAnnotation,17.0,0.0,9.0,7.0,2.0,2.0,,,,,5.0,18.0,18.0,1.0,,0.0,1.0,,,,11.0,3.0,11.0,39.0,0.0,0.0,0.0,11.0,,218.0,20.0,109.0,34.0,66.0,89.0,,49.0,72.0,27.0,53.0,,,7.0,7.0,3.0,1.0,45.0,45.0,0.82,22,17
Public Class,org.jfree.chart.annotations.TextAnnotation,14.0,0.0,7.0,7.0,2.0,1.0,,,,,2.0,14.0,14.0,1.0,,0.0,6.0,,,,17.0,6.0,17.0,28.0,0.0,2.0,1.0,14.0,,300.0,32.0,128.0,34.0,72.0,140.0,,64.0,95.0,33.0,64.0,,,9.0,9.0,2.0,1.0,69.0,69.0,1.09,30,25
Public Interface,org.jfree.chart.annotations.XYAnnotation,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,5.0,5.0,1.0,,0.0,0.0,,,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,,20.0,2.0,6.0,5.0,0.0,12.0,,1.0,2.0,2.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,0
Public Interface,org.jfree.chart.annotations.XYAnnotationBoundsInfo,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,1.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,28.0,4.0,5.0,4.0,0.0,19.0,,3.0,4.0,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0,0
Public Class,org.jfree.chart.annotations.XYBoxAnnotation,23.0,1.0,13.0,9.0,3.0,2.0,,,,,4.0,21.0,21.0,0.0,,0.0,1.0,,,,9.0,7.0,9.0,29.0,0.0,2.0,0.0,7.0,,244.0,25.0,126.0,39.0,77.0,93.0,,66.0,90.0,29.0,68.0,,,11.0,11.0,3.0,1.0,51.0,29.0,0.74,23,19
Public Class,org.jfree.chart.annotations.XYDataImageAnnotation,16.0,0.0,8.0,8.0,2.0,2.0,,,,,4.0,20.0,20.0,0.0,,0.0,0.0,,,,16.0,6.0,16.0,36.0,0.0,2.0,0.0,14.0,,314.0,25.0,136.0,50.0,76.0,153.0,,63.0,93.0,39.0,65.0,,,10.0,10.0,3.0,1.0,71.0,65.0,1.13,29,25
Public Class,org.jfree.chart.annotations.XYDrawableAnnotation,27.0,1.0,16.0,10.0,3.0,3.0,,,,,4.0,15.0,15.0,0.0,,0.0,1.0,,,,6.0,6.0,6.0,26.0,0.0,0.0,0.0,6.0,,198.0,22.0,106.0,39.0,67.0,71.0,,54.0,72.0,27.0,55.0,,,10.0,10.0,3.0,1.0,39.0,22.0,0.67,17,15
Public Class,org.jfree.chart.annotations.XYImageAnnotation,17.0,0.0,9.0,8.0,2.0,2.0,,,,,4.0,22.0,22.0,0.0,,0.0,1.0,,,,12.0,4.0,12.0,32.0,0.0,2.0,0.0,10.0,,251.0,22.0,115.0,45.0,63.0,114.0,,53.0,78.0,34.0,57.0,,,8.0,8.0,3.0,1.0,65.0,56.0,0.99,24,19
Public Class,org.jfree.chart.annotations.XYLineAnnotation,25.0,1.0,16.0,9.0,3.0,2.0,,,,,4.0,25.0,25.0,0.0,,0.0,1.0,,,,8.0,6.0,8.0,28.0,0.0,2.0,0.0,6.0,,236.0,20.0,134.0,38.0,87.0,82.0,,69.0,93.0,30.0,70.0,,,10.0,10.0,3.0,1.0,46.0,33.0,0.61,23,17
Public Class,org.jfree.chart.annotations.XYPointerAnnotation,17.0,1.0,9.0,8.0,2.0,1.0,,,,,4.0,27.0,27.0,0.0,,0.0,6.0,,,,23.0,8.0,23.0,74.0,0.0,2.0,0.0,21.0,,481.0,50.0,223.0,78.0,146.0,208.0,,126.0,166.0,64.0,126.0,,,11.0,11.0,4.0,1.0,72.0,72.0,0.93,39,33
Public Class,org.jfree.chart.annotations.XYPolygonAnnotation,20.0,0.0,11.0,9.0,2.0,2.0,,,,,4.0,24.0,24.0,0.0,,0.0,1.0,,,,13.0,4.0,13.0,33.0,0.0,2.0,0.0,11.0,,293.0,25.0,145.0,38.0,89.0,123.0,,69.0,100.0,29.0,77.0,,,8.0,8.0,3.0,2.0,50.0,35.0,0.85,30,20
Public Class,org.jfree.chart.annotations.XYShapeAnnotation,22.0,1.0,13.0,8.0,2.0,2.0,,,,,4.0,24.0,24.0,0.0,,0.0,1.0,,,,9.0,4.0,9.0,29.0,0.0,2.0,0.0,7.0,,231.0,22.0,125.0,47.0,82.0,84.0,,68.0,91.0,37.0,69.0,,,8.0,8.0,3.0,1.0,33.0,11.0,0.67,22,16
Public Class,org.jfree.chart.annotations.XYTextAnnotation,16.0,0.0,8.0,8.0,2.0,1.0,,,,,4.0,26.0,26.0,1.0,,0.0,6.0,,,,31.0,12.0,31.0,51.0,0.0,2.0,0.0,29.0,,609.0,57.0,262.0,72.0,155.0,290.0,,134.0,192.0,62.0,140.0,,,15.0,15.0,3.0,1.0,81.0,80.0,1.11,57,45
Public Class,org.jfree.chart.annotations.XYTitleAnnotation,19.0,0.0,12.0,6.0,3.0,2.0,,,,,4.0,29.0,29.0,0.0,,0.0,1.0,,,,15.0,7.0,15.0,35.0,0.0,0.0,0.0,15.0,,329.0,28.0,188.0,62.0,120.0,113.0,,93.0,132.0,50.0,101.0,,,13.0,10.0,3.0,2.0,65.0,58.0,0.6,38,24
Public Abstract Class,org.jfree.chart.axis.Axis,18.0,0.0,9.0,8.0,2.0,1.0,,,,,3.0,42.0,42.0,2.0,,0.0,16.0,,,,69.0,26.0,69.0,69.0,0.0,2.0,7.0,60.0,,1450.0,140.0,635.0,190.0,382.0,676.0,,298.0,436.0,162.0,324.0,,,27.0,27.0,1.0,3.0,93.0,91.0,1.06,137,91
Public Class,org.jfree.chart.axis.AxisCollection,12.0,0.0,6.0,6.0,2.0,1.0,,,,,1.0,5.0,5.0,0.0,,0.0,0.0,,,,6.0,4.0,6.0,6.0,0.0,0.0,0.0,6.0,,98.0,11.0,44.0,11.0,20.0,43.0,,18.0,31.0,11.0,20.0,,,7.0,1.0,1.0,1.0,50.0,50.0,0.98,12,6
Public Final Class,org.jfree.chart.axis.AxisLocation,17.0,0.0,10.0,7.0,3.0,2.0,,,,,2.0,4.0,4.0,0.0,,1.0,5.0,,,,5.0,1.0,6.0,6.0,0.0,2.0,0.0,4.0,,135.0,15.0,71.0,19.0,43.0,49.0,,27.0,46.0,15.0,35.0,,,6.0,5.0,1.0,1.0,50.0,33.0,0.69,18,13
Public Class,org.jfree.chart.axis.AxisSpace,15.0,0.0,9.0,6.0,2.0,1.0,,,,,4.0,7.0,7.0,0.0,,0.0,1.0,,,,19.0,4.0,19.0,19.0,0.0,0.0,0.0,19.0,,324.0,25.0,181.0,29.0,110.0,118.0,,64.0,109.0,29.0,81.0,,,9.0,7.0,1.0,2.0,37.0,37.0,0.65,44,25
Public Class,org.jfree.chart.axis.AxisState,9.0,0.0,4.0,5.0,1.0,1.0,,,,,1.0,3.0,3.0,0.0,,0.0,0.0,,,,13.0,3.0,13.0,13.0,0.0,0.0,0.0,13.0,,146.0,16.0,56.0,17.0,21.0,74.0,,20.0,38.0,17.0,21.0,,,5.0,1.0,1.0,1.0,69.0,62.0,1.32,17,13
Public Final Class,org.jfree.chart.axis.CategoryAnchor,15.0,1.0,8.0,6.0,3.0,3.0,,,,,2.0,2.0,2.0,0.0,,0.0,4.0,,,,4.0,1.0,4.0,4.0,0.0,2.0,0.0,2.0,,87.0,12.0,41.0,14.0,21.0,34.0,,16.0,27.0,11.0,19.0,,,4.0,4.0,1.0,1.0,25.0,0.0,0.83,10,10
Public Class,org.jfree.chart.axis.CategoryAxis,25.0,1.0,14.0,10.0,3.0,1.0,,,,,3.0,53.0,53.0,3.0,,0.0,3.0,,,,50.0,10.0,50.0,119.0,0.0,5.0,6.0,39.0,,1336.0,115.0,715.0,227.0,466.0,506.0,,329.0,469.0,174.0,377.0,,,14.0,13.0,2.0,4.0,90.0,75.0,0.71,139,65
Public Class,org.jfree.chart.axis.CategoryAxis3D,30.0,2.0,18.0,10.0,3.0,1.0,,,,,3.0,12.0,12.0,0.0,,0.0,1.0,,,,5.0,0.0,5.0,124.0,0.0,0.0,0.0,5.0,,164.0,18.0,93.0,34.0,58.0,53.0,,38.0,56.0,24.0,46.0,,,7.0,1.0,3.0,2.0,0.0,0.0,0.57,17,5
Public Class,org.jfree.chart.axis.CategoryLabelPosition,15.0,0.0,8.0,7.0,2.0,2.0,,,,,2.0,5.0,5.0,0.0,,0.0,1.0,,,,12.0,6.0,12.0,12.0,0.0,0.0,0.0,12.0,,224.0,23.0,106.0,31.0,53.0,95.0,,41.0,66.0,22.0,44.0,,,9.0,9.0,1.0,1.0,71.0,46.0,0.9,24,20
Public Class,org.jfree.chart.axis.CategoryLabelPositions,26.0,1.0,17.0,9.0,3.0,2.0,,,,,2.0,7.0,7.0,0.0,,6.0,6.0,,,,5.0,4.0,11.0,11.0,0.0,0.0,0.0,11.0,,408.0,36.0,258.0,42.0,194.0,134.0,,56.0,90.0,25.0,70.0,,,7.0,7.0,1.0,1.0,55.0,0.0,0.52,33,17
Public Final Class,org.jfree.chart.axis.CategoryLabelWidthType,15.0,1.0,8.0,6.0,3.0,2.0,,,,,2.0,3.0,3.0,0.0,,0.0,3.0,,,,4.0,1.0,4.0,4.0,0.0,2.0,0.0,2.0,,84.0,11.0,41.0,13.0,22.0,32.0,,15.0,26.0,10.0,18.0,,,4.0,4.0,1.0,1.0,25.0,0.0,0.78,10,9
Public Class,org.jfree.chart.axis.CategoryTick,14.0,0.0,8.0,6.0,2.0,2.0,,,,,1.0,5.0,5.0,0.0,,0.0,0.0,,,,6.0,3.0,6.0,14.0,0.0,0.0,0.0,6.0,,103.0,11.0,50.0,16.0,24.0,42.0,,22.0,34.0,12.0,22.0,,,6.0,6.0,2.0,2.0,33.0,33.0,0.84,11,11
Public Class,org.jfree.chart.axis.CompassFormat,12.0,0.0,4.0,7.0,1.0,1.0,,,,,1.0,5.0,5.0,0.0,,0.0,5.0,,,,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,,90.0,13.0,32.0,17.0,15.0,45.0,,13.0,20.0,12.0,9.0,,,2.0,1.0,2.0,1.0,0.0,0.0,1.41,6,5
Public Class,org.jfree.chart.axis.CyclicNumberAxis,29.0,2.0,18.0,9.0,4.0,2.0,,,,,1.0,38.0,38.0,0.0,,0.0,3.0,,,,34.0,8.0,34.0,213.0,0.0,2.0,6.0,26.0,,1135.0,121.0,649.0,161.0,445.0,365.0,,279.0,388.0,120.0,309.0,,,24.0,10.0,4.0,4.0,86.0,77.0,0.56,122,52
Protected Static Class,org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,16.0,0.0,6.0,10.0,1.0,1.0,,,,,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,1.0,1.0,17.0,0.0,0.0,0.0,1.0,,28.0,2.0,9.0,5.0,2.0,17.0,,3.0,5.0,3.0,2.0,,,1.0,1.0,4.0,0.0,0.0,0.0,1.89,1,1
Public Class,org.jfree.chart.axis.DateAxis,31.0,2.0,19.0,10.0,3.0,1.0,,,,,3.0,43.0,43.0,1.0,,3.0,6.0,,,,48.0,6.0,51.0,192.0,0.0,4.0,8.0,39.0,,1787.0,150.0,1044.0,287.0,738.0,594.0,,521.0,692.0,249.0,576.0,,,25.0,8.0,3.0,4.0,87.0,70.0,0.57,158,66
Private Static Class,org.jfree.chart.axis.DateAxis.DefaultTimeline,12.0,0.0,4.0,8.0,1.0,1.0,,,,,3.0,1.0,1.0,0.0,,0.0,0.0,,,,8.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,,110.0,8.0,35.0,9.0,14.0,67.0,,11.0,23.0,9.0,14.0,,,4.0,4.0,1.0,1.0,0.0,0.0,1.91,11,11
Public Class,org.jfree.chart.axis.DateTick,15.0,1.0,6.0,8.0,2.0,2.0,,,,,1.0,5.0,5.0,0.0,,0.0,0.0,,,,5.0,1.0,5.0,18.0,0.0,0.0,0.0,5.0,,88.0,11.0,33.0,12.0,13.0,44.0,,11.0,20.0,8.0,12.0,,,4.0,4.0,3.0,1.0,20.0,0.0,1.33,8,8
Public Final Class,org.jfree.chart.axis.DateTickMarkPosition,15.0,1.0,8.0,6.0,3.0,3.0,,,,,2.0,2.0,2.0,0.0,,0.0,4.0,,,,4.0,1.0,4.0,4.0,0.0,2.0,0.0,2.0,,88.0,13.0,41.0,14.0,21.0,34.0,,16.0,27.0,11.0,19.0,,,4.0,4.0,1.0,1.0,25.0,0.0,0.83,10,10
Public Class,org.jfree.chart.axis.DateTickUnit,16.0,0.0,7.0,8.0,2.0,2.0,,,,,2.0,8.0,8.0,0.0,,2.0,1.0,,,,16.0,5.0,18.0,26.0,0.0,2.0,0.0,16.0,,336.0,28.0,138.0,32.0,73.0,170.0,,57.0,93.0,29.0,66.0,,,8.0,8.0,2.0,1.0,73.0,60.0,1.23,35,31
Public Class,org.jfree.chart.axis.DateTickUnitType,16.0,0.0,9.0,6.0,3.0,3.0,,,,,2.0,3.0,3.0,0.0,,0.0,7.0,,,,5.0,2.0,5.0,5.0,0.0,2.0,0.0,3.0,,128.0,16.0,67.0,25.0,36.0,45.0,,26.0,42.0,16.0,33.0,,,8.0,8.0,1.0,1.0,50.0,40.0,0.67,15,15
Public Class,org.jfree.chart.axis.ExtendedCategoryAxis,15.0,0.0,8.0,7.0,2.0,1.0,,,,,1.0,21.0,21.0,0.0,,0.0,1.0,,,,11.0,3.0,11.0,130.0,0.0,2.0,1.0,8.0,,194.0,16.0,89.0,25.0,49.0,89.0,,38.0,61.0,22.0,44.0,,,6.0,6.0,3.0,3.0,48.0,48.0,1.0,22,16
Public Class,org.jfree.chart.axis.LogAxis,24.0,1.0,13.0,9.0,2.0,1.0,,,,,1.0,29.0,29.0,0.0,,1.0,0.0,,,,32.0,5.0,33.0,174.0,0.0,0.0,9.0,24.0,,846.0,82.0,445.0,166.0,305.0,320.0,,240.0,319.0,145.0,251.0,,,7.0,5.0,3.0,3.0,85.0,61.0,0.72,78,37
Public Class,org.jfree.chart.axis.LogarithmicAxis,33.0,1.0,19.0,14.0,4.0,1.0,,,,,1.0,17.0,17.0,1.0,,0.0,3.0,,,,28.0,7.0,28.0,207.0,0.0,0.0,9.0,19.0,,981.0,79.0,548.0,113.0,362.0,420.0,,231.0,332.0,105.0,261.0,,,27.0,4.0,4.0,9.0,85.0,79.0,0.77,114,34
