Kind,Name,PercentLackOfCohesionModified,PercentLackOfCohesion
Public Abstract Class,"org.apache.commons.collections.bag.AbstractMapBag",61,75
Static Class,"org.apache.commons.collections.bag.AbstractMapBag.BagIterator",25,25
Protected Static Class,"org.apache.commons.collections.bag.AbstractMapBag.MutableInteger",0,0
Public Abstract Class,"org.apache.commons.collections.bag.AbstractSortedBagDecorator",0,0
Public Abstract Class,"org.apache.commons.collections.bag.AbstractTestBag",0,0
Public Abstract Class,"org.apache.commons.collections.bag.AbstractTestSortedBag",0,0
Public Class,"org.apache.commons.collections.bag.HashBag",0,0
Public Class,"org.apache.commons.collections.bag.PredicatedBag",0,0
Public Class,"org.apache.commons.collections.bag.PredicatedSortedBag",0,0
Public Class,"org.apache.commons.collections.bag.SynchronizedBag",0,0
Class,"org.apache.commons.collections.bag.SynchronizedBag.SynchronizedBagSet",0,0
Public Class,"org.apache.commons.collections.bag.SynchronizedSortedBag",0,0
Public Class,"org.apache.commons.collections.bag.TestAll",0,0
Public Class,"org.apache.commons.collections.bag.TestHashBag",0,0
Public Class,"org.apache.commons.collections.bag.TestPredicatedBag",91,91
Anonymous Class,"org.apache.commons.collections.bag.TestPredicatedBag.stringPredicate.(Anon_1)",0,0
Public Class,"org.apache.commons.collections.bag.TestPredicatedSortedBag",90,90
Anonymous Class,"org.apache.commons.collections.bag.TestPredicatedSortedBag.stringPredicate.(Anon_1)",0,0
Public Class,"org.apache.commons.collections.bag.TestTransformedBag",0,0
Public Class,"org.apache.commons.collections.bag.TestTransformedSortedBag",0,0
Public Class,"org.apache.commons.collections.bag.TestTreeBag",0,0
Public Class,"org.apache.commons.collections.bag.TestTypedBag",83,90
Public Class,"org.apache.commons.collections.bag.TestTypedSortedBag",86,86
Public Class,"org.apache.commons.collections.bag.TransformedBag",0,0
Public Class,"org.apache.commons.collections.bag.TransformedSortedBag",0,0
Public Class,"org.apache.commons.collections.bag.TreeBag",0,0
Public Class,"org.apache.commons.collections.bag.TypedBag",0,0
Public Class,"org.apache.commons.collections.bag.TypedSortedBag",0,0
Public Final Class,"org.apache.commons.collections.bag.UnmodifiableBag",0,0
Public Final Class,"org.apache.commons.collections.bag.UnmodifiableSortedBag",0,0
Public Abstract Class,"org.apache.commons.collections.bidimap.AbstractBidiMapDecorator",0,0
Public Abstract Class,"org.apache.commons.collections.bidimap.AbstractDualBidiMap",83,83
Protected Static Class,"org.apache.commons.collections.bidimap.AbstractDualBidiMap.BidiMapIterator",47,47
Protected Static Class,"org.apache.commons.collections.bidimap.AbstractDualBidiMap.EntrySet",0,0
Protected Static Class,"org.apache.commons.collections.bidimap.AbstractDualBidiMap.EntrySetIterator",22,22
Protected Static Class,"org.apache.commons.collections.bidimap.AbstractDualBidiMap.KeySet",0,0
Protected Static Class,"org.apache.commons.collections.bidimap.AbstractDualBidiMap.KeySetIterator",33,33
Protected Static Class,"org.apache.commons.collections.bidimap.AbstractDualBidiMap.MapEntry",0,0
Protected Static Class,"org.apache.commons.collections.bidimap.AbstractDualBidiMap.Values",0,0
Protected Static Class,"org.apache.commons.collections.bidimap.AbstractDualBidiMap.ValuesIterator",33,33
Protected Static Abstract Class,"org.apache.commons.collections.bidimap.AbstractDualBidiMap.View",0,0
Public Abstract Class,"org.apache.commons.collections.bidimap.AbstractOrderedBidiMapDecorator",0,0
Public Abstract Class,"org.apache.commons.collections.bidimap.AbstractSortedBidiMapDecorator",0,0
Public Abstract Class,"org.apache.commons.collections.bidimap.AbstractTestBidiMap",61,68
Public Class,"org.apache.commons.collections.bidimap.AbstractTestBidiMap.TestBidiMapEntrySet",0,0
Public Class,"org.apache.commons.collections.bidimap.AbstractTestBidiMap.TestBidiMapIterator",0,0
Public Class,"org.apache.commons.collections.bidimap.AbstractTestBidiMap.TestInverseBidiMap",0,0
Public Abstract Class,"org.apache.commons.collections.bidimap.AbstractTestOrderedBidiMap",0,0
Public Class,"org.apache.commons.collections.bidimap.AbstractTestOrderedBidiMap.TestBidiOrderedMapIterator",0,0
Public Abstract Class,"org.apache.commons.collections.bidimap.AbstractTestSortedBidiMap",90,90
Public Class,"org.apache.commons.collections.bidimap.DualHashBidiMap",0,0
Public Class,"org.apache.commons.collections.bidimap.DualTreeBidiMap",67,72
Protected Static Class,"org.apache.commons.collections.bidimap.DualTreeBidiMap.BidiOrderedMapIterator",42,42
Protected Static Class,"org.apache.commons.collections.bidimap.DualTreeBidiMap.ViewMap",17,17
Public Class,"org.apache.commons.collections.bidimap.TestAbstractOrderedBidiMapDecorator",0,0
Private Static Final Class,"org.apache.commons.collections.bidimap.TestAbstractOrderedBidiMapDecorator.TestOrderedBidiMap",67,67
Public Class,"org.apache.commons.collections.bidimap.TestAll",0,0
Public Class,"org.apache.commons.collections.bidimap.TestDualHashBidiMap",0,0
Public Class,"org.apache.commons.collections.bidimap.TestDualTreeBidiMap",0,0
Public Class,"org.apache.commons.collections.bidimap.TestDualTreeBidiMap2",0,0
Public Class,"org.apache.commons.collections.bidimap.TestTreeBidiMap",0,0
Public Class,"org.apache.commons.collections.bidimap.TestUnmodifiableBidiMap",0,0
Public Class,"org.apache.commons.collections.bidimap.TestUnmodifiableOrderedBidiMap",0,0
Public Class,"org.apache.commons.collections.bidimap.TestUnmodifiableSortedBidiMap",0,0
Public Class,"org.apache.commons.collections.bidimap.TreeBidiMap",87,94
Static Class,"org.apache.commons.collections.bidimap.TreeBidiMap.EntryView",0,0
Static Class,"org.apache.commons.collections.bidimap.TreeBidiMap.Inverse",73,73
Static Class,"org.apache.commons.collections.bidimap.TreeBidiMap.Node",81,81
Static Class,"org.apache.commons.collections.bidimap.TreeBidiMap.View",33,33
Static Class,"org.apache.commons.collections.bidimap.TreeBidiMap.ViewIterator",37,41
Static Class,"org.apache.commons.collections.bidimap.TreeBidiMap.ViewMapIterator",50,50
Public Final Class,"org.apache.commons.collections.bidimap.UnmodifiableBidiMap",92,92
Public Final Class,"org.apache.commons.collections.bidimap.UnmodifiableOrderedBidiMap",86,93
Public Final Class,"org.apache.commons.collections.bidimap.UnmodifiableSortedBidiMap",83,94
Public Abstract Class,"org.apache.commons.collections.buffer.AbstractBufferDecorator",0,0
Public Class,"org.apache.commons.collections.buffer.BlockingBuffer",40,60
Public Class,"org.apache.commons.collections.buffer.BoundedBuffer",30,75
Private Class,"org.apache.commons.collections.buffer.BoundedBuffer.NotifyingIterator",0,0
Public Class,"org.apache.commons.collections.buffer.BoundedFifoBuffer",41,63
Anonymous Class,"org.apache.commons.collections.buffer.BoundedFifoBuffer.iterator.(Anon_1)",22,22
Public Class,"org.apache.commons.collections.buffer.CircularFifoBuffer",0,0
Public Class,"org.apache.commons.collections.buffer.PredicatedBuffer",0,0
Public Class,"org.apache.commons.collections.buffer.PriorityBuffer",42,72
Anonymous Class,"org.apache.commons.collections.buffer.PriorityBuffer.iterator.(Anon_1)",17,17
Public Class,"org.apache.commons.collections.buffer.SynchronizedBuffer",0,0
Public Class,"org.apache.commons.collections.buffer.TestAll",0,0
Public Class,"org.apache.commons.collections.buffer.TestBlockingBuffer",0,0
Protected Static Class,"org.apache.commons.collections.buffer.TestBlockingBuffer.DelayedAdd",11,11
Protected Static Class,"org.apache.commons.collections.buffer.TestBlockingBuffer.DelayedAddAll",11,11
Protected Static Class,"org.apache.commons.collections.buffer.TestBlockingBuffer.MyBuffer",0,0
Protected Static Class,"org.apache.commons.collections.buffer.TestBlockingBuffer.ReadThread",32,32
Public Class,"org.apache.commons.collections.buffer.TestBoundedBuffer",0,0
Private Class,"org.apache.commons.collections.buffer.TestBoundedBuffer.DelayedIteratorRemove",0,33
Private Class,"org.apache.commons.collections.buffer.TestBoundedBuffer.DelayedRemove",0,33
Public Class,"org.apache.commons.collections.buffer.TestBoundedFifoBuffer",0,0
Public Class,"org.apache.commons.collections.buffer.TestBoundedFifoBuffer2",0,0
Public Class,"org.apache.commons.collections.buffer.TestCircularFifoBuffer",0,0
Public Class,"org.apache.commons.collections.buffer.TestPredicatedBuffer",0,0
Public Class,"org.apache.commons.collections.buffer.TestPriorityBuffer",0,0
Public Class,"org.apache.commons.collections.buffer.TestSynchronizedBuffer",0,0
Public Class,"org.apache.commons.collections.buffer.TestTransformedBuffer",0,0
Public Class,"org.apache.commons.collections.buffer.TestUnboundedFifoBuffer",0,0
Public Class,"org.apache.commons.collections.buffer.TestUnmodifiableBuffer",0,0
Public Class,"org.apache.commons.collections.buffer.TransformedBuffer",0,0
Public Class,"org.apache.commons.collections.buffer.TypedBuffer",0,0
Public Class,"org.apache.commons.collections.buffer.UnboundedFifoBuffer",19,50
Anonymous Class,"org.apache.commons.collections.buffer.UnboundedFifoBuffer.iterator.(Anon_1)",17,17
Public Final Class,"org.apache.commons.collections.buffer.UnmodifiableBuffer",0,0
Public Abstract Class,"org.apache.commons.collections.collection.AbstractCollectionDecorator",5,5
Public Abstract Class,"org.apache.commons.collections.collection.AbstractSerializableCollectionDecorator",0,0
Public Abstract Class,"org.apache.commons.collections.collection.AbstractTestCollection",45,57
Public Class,"org.apache.commons.collections.collection.CompositeCollection",46,59
Public Interface,"org.apache.commons.collections.collection.CompositeCollection.CollectionMutator",0,0
Public Class,"org.apache.commons.collections.collection.PredicatedCollection",0,60
Public Class,"org.apache.commons.collections.collection.SynchronizedCollection",3,8
Public Class,"org.apache.commons.collections.collection.TestAll",0,0
Public Class,"org.apache.commons.collections.collection.TestCompositeCollection",41,52
Anonymous Class,"org.apache.commons.collections.collection.TestCompositeCollection.setUpMutatorTest.(Anon_1)",0,0
Anonymous Class,"org.apache.commons.collections.collection.TestCompositeCollection.testAddAllMutator.(Anon_2)",0,0
Anonymous Class,"org.apache.commons.collections.collection.TestCompositeCollection.testAddMutator.(Anon_3)",0,0
Public Class,"org.apache.commons.collections.collection.TestPredicatedCollection",81,88
Anonymous Class,"org.apache.commons.collections.collection.TestPredicatedCollection.(Anon_1)",0,0
Public Class,"org.apache.commons.collections.collection.TestSynchronizedCollection",0,0
Public Class,"org.apache.commons.collections.collection.TestTransformedCollection",0,0
Private Static Class,"org.apache.commons.collections.collection.TestTransformedCollection.StringToInteger",0,0
Public Class,"org.apache.commons.collections.collection.TestUnmodifiableCollection",0,0
Public Class,"org.apache.commons.collections.collection.TransformedCollection",33,67
Public Class,"org.apache.commons.collections.collection.TypedCollection",0,0
Public Final Class,"org.apache.commons.collections.collection.UnmodifiableBoundedCollection",0,0
Public Final Class,"org.apache.commons.collections.collection.UnmodifiableCollection",0,0
Public Abstract Class,"org.apache.commons.collections.comparators.AbstractTestComparator",0,0
Public Final Class,"org.apache.commons.collections.comparators.BooleanComparator",30,50
Public Class,"org.apache.commons.collections.comparators.ComparableComparator",0,0
Public Class,"org.apache.commons.collections.comparators.ComparatorChain",35,61
Public Class,"org.apache.commons.collections.comparators.FixedOrderComparator",53,78
Public Class,"org.apache.commons.collections.comparators.NullComparator",0,43
Public Class,"org.apache.commons.collections.comparators.ReverseComparator",0,20
Public Class,"org.apache.commons.collections.comparators.TestAll",0,0
Public Class,"org.apache.commons.collections.comparators.TestBooleanComparator",0,0
Public Class,"org.apache.commons.collections.comparators.TestComparableComparator",0,0
Public Class,"org.apache.commons.collections.comparators.TestComparatorChain",0,0
Public Static Class,"org.apache.commons.collections.comparators.TestComparatorChain.ColumnComparator",0,0
Public Static Class,"org.apache.commons.collections.comparators.TestComparatorChain.PseudoRow",0,25
Anonymous Class,"org.apache.commons.collections.comparators.TestComparatorChain.testComparatorChainOnMinvaluedCompatator.(Anon_1)",0,0
Public Class,"org.apache.commons.collections.comparators.TestFixedOrderComparator",0,0
Public Abstract Class,"org.apache.commons.collections.comparators.TestNullComparator",0,0
Public Static Class,"org.apache.commons.collections.comparators.TestNullComparator.TestNullComparator1",0,0
Public Static Class,"org.apache.commons.collections.comparators.TestNullComparator.TestNullComparator2",0,0
Public Class,"org.apache.commons.collections.comparators.TestReverseComparator",0,0
Public Class,"org.apache.commons.collections.comparators.TransformingComparator",0,33
Public Final Class,"org.apache.commons.collections.functors.AllPredicate",0,40
Public Final Class,"org.apache.commons.collections.functors.AndPredicate",0,25
Public Final Class,"org.apache.commons.collections.functors.AnyPredicate",0,40
Public Class,"org.apache.commons.collections.functors.ChainedClosure",0,50
Public Class,"org.apache.commons.collections.functors.ChainedTransformer",0,50
Public Class,"org.apache.commons.collections.functors.CloneTransformer",0,0
Public Class,"org.apache.commons.collections.functors.ClosureTransformer",0,25
Public Class,"org.apache.commons.collections.functors.ConstantFactory",0,25
Public Class,"org.apache.commons.collections.functors.ConstantTransformer",0,25
Public Final Class,"org.apache.commons.collections.functors.EqualPredicate",0,25
Public Final Class,"org.apache.commons.collections.functors.ExceptionClosure",0,0
Public Final Class,"org.apache.commons.collections.functors.ExceptionFactory",0,0
Public Final Class,"org.apache.commons.collections.functors.ExceptionPredicate",0,0
Public Final Class,"org.apache.commons.collections.functors.ExceptionTransformer",0,0
Public Class,"org.apache.commons.collections.functors.FactoryTransformer",0,25
Public Final Class,"org.apache.commons.collections.functors.FalsePredicate",0,0
Public Class,"org.apache.commons.collections.functors.ForClosure",20,40
Class,"org.apache.commons.collections.functors.FunctorUtils",0,0
Public Final Class,"org.apache.commons.collections.functors.IdentityPredicate",0,25
Public Class,"org.apache.commons.collections.functors.IfClosure",25,63
Public Final Class,"org.apache.commons.collections.functors.InstanceofPredicate",0,25
