Kind,Name,PercentLackOfCohesionModified,PercentLackOfCohesion
Public Class,"org.jfree.chart.annotations.junit.CategoryPointerAnnotationTests",0,0
Public Class,"org.jfree.chart.annotations.junit.CategoryTextAnnotationTests",0,0
Public Class,"org.jfree.chart.annotations.junit.TextAnnotationTests",0,0
Public Class,"org.jfree.chart.annotations.junit.XYBoxAnnotationTests",0,0
Public Class,"org.jfree.chart.annotations.junit.XYDrawableAnnotationTests",0,0
Static Class,"org.jfree.chart.annotations.junit.XYDrawableAnnotationTests.TestDrawable",0,0
Public Class,"org.jfree.chart.annotations.junit.XYImageAnnotationTests",0,0
Public Class,"org.jfree.chart.annotations.junit.XYLineAnnotationTests",0,0
Public Class,"org.jfree.chart.annotations.junit.XYPointerAnnotationTests",0,0
Public Class,"org.jfree.chart.annotations.junit.XYPolygonAnnotationTests",0,0
Public Class,"org.jfree.chart.annotations.junit.XYShapeAnnotationTests",0,0
Public Class,"org.jfree.chart.annotations.junit.XYTextAnnotationTests",0,0
Public Class,"org.jfree.chart.annotations.junit.XYTitleAnnotationTests",0,0
Public Abstract Class,"org.jfree.chart.axis.Axis",91,93
Public Class,"org.jfree.chart.axis.AxisCollection",50,50
Public Final Class,"org.jfree.chart.axis.AxisLocation",33,50
Public Class,"org.jfree.chart.axis.AxisSpace",37,37
Public Class,"org.jfree.chart.axis.AxisState",62,69
Public Final Class,"org.jfree.chart.axis.CategoryAnchor",0,25
Public Class,"org.jfree.chart.axis.CategoryAxis",75,90
Public Class,"org.jfree.chart.axis.CategoryAxis3D",0,0
Public Class,"org.jfree.chart.axis.CategoryLabelPosition",46,71
Public Class,"org.jfree.chart.axis.CategoryLabelPositions",0,55
Public Final Class,"org.jfree.chart.axis.CategoryLabelWidthType",0,25
Public Class,"org.jfree.chart.axis.CategoryTick",33,33
Public Class,"org.jfree.chart.axis.CompassFormat",0,0
Public Class,"org.jfree.chart.axis.CyclicNumberAxis",77,86
Protected Static Class,"org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick",0,0
Public Class,"org.jfree.chart.axis.DateAxis",70,87
Private Static Class,"org.jfree.chart.axis.DateAxis.DefaultTimeline",0,0
Public Class,"org.jfree.chart.axis.DateTick",0,20
Public Final Class,"org.jfree.chart.axis.DateTickMarkPosition",0,25
Public Class,"org.jfree.chart.axis.DateTickUnit",60,73
Public Class,"org.jfree.chart.axis.DateTickUnitType",40,50
Public Class,"org.jfree.chart.axis.ExtendedCategoryAxis",48,48
Public Class,"org.jfree.chart.axis.LogAxis",61,85
Public Class,"org.jfree.chart.axis.LogarithmicAxis",79,85
Public Class,"org.jfree.chart.axis.MarkerAxisBand",39,43
Public Class,"org.jfree.chart.axis.ModuloAxis",24,39
Public Class,"org.jfree.chart.axis.MonthDateFormat",64,73
Public Class,"org.jfree.chart.axis.NumberAxis",75,89
Public Class,"org.jfree.chart.axis.NumberAxis3D",0,0
Public Class,"org.jfree.chart.axis.NumberTick",0,0
Public Class,"org.jfree.chart.axis.NumberTickUnit",0,29
Public Class,"org.jfree.chart.axis.PeriodAxis",78,86
Public Class,"org.jfree.chart.axis.PeriodAxisLabelInfo",68,74
Public Class,"org.jfree.chart.axis.QuarterDateFormat",14,57
Public Class,"org.jfree.chart.axis.SegmentedTimeline",84,93
Protected Class,"org.jfree.chart.axis.SegmentedTimeline.BaseTimelineSegmentRange",0,0
Public Class,"org.jfree.chart.axis.SegmentedTimeline.Segment",55,69
Protected Class,"org.jfree.chart.axis.SegmentedTimeline.SegmentRange",50,67
Public Class,"org.jfree.chart.axis.StandardTickUnitSource",0,0
Public Class,"org.jfree.chart.axis.SubCategoryAxis",46,59
Public Class,"org.jfree.chart.axis.SymbolAxis",61,69
Public Abstract Class,"org.jfree.chart.axis.Tick",59,59
Public Final Class,"org.jfree.chart.axis.TickType",0,25
Public Abstract Class,"org.jfree.chart.axis.TickUnit",44,44
Public Interface,"org.jfree.chart.axis.TickUnitSource",0,0
Public Class,"org.jfree.chart.axis.TickUnits",0,11
Public Interface,"org.jfree.chart.axis.Timeline",0,0
Public Abstract Class,"org.jfree.chart.axis.ValueAxis",89,93
Public Abstract Class,"org.jfree.chart.axis.ValueTick",20,30
Public Class,"org.jfree.chart.axis.junit.AxisLocationTests",0,0
Public Class,"org.jfree.chart.axis.junit.AxisPackageTests",0,0
Public Class,"org.jfree.chart.axis.junit.AxisSpaceTests",0,0
Public Class,"org.jfree.chart.axis.junit.AxisTests",0,0
Public Class,"org.jfree.chart.axis.junit.CategoryAnchorTests",0,0
Public Class,"org.jfree.chart.axis.junit.CategoryAxis3DTests",0,0
Public Class,"org.jfree.chart.axis.junit.CategoryAxisTests",0,0
Public Class,"org.jfree.chart.axis.junit.CategoryLabelPositionTests",0,0
Public Class,"org.jfree.chart.axis.junit.CategoryLabelPositionsTests",0,0
Public Class,"org.jfree.chart.axis.junit.CategoryLabelWidthTypeTests",0,0
Public Class,"org.jfree.chart.axis.junit.CategoryTickTests",0,0
Public Class,"org.jfree.chart.axis.junit.CyclicNumberAxisTests",0,0
Public Class,"org.jfree.chart.axis.junit.DateAxisTests",0,0
Static Class,"org.jfree.chart.axis.junit.DateAxisTests.MyDateAxis",0,0
Public Class,"org.jfree.chart.axis.junit.DateTickMarkPositionTests",0,0
Public Class,"org.jfree.chart.axis.junit.DateTickTests",0,0
Public Class,"org.jfree.chart.axis.junit.DateTickUnitTests",0,0
Public Class,"org.jfree.chart.axis.junit.ExtendedCategoryAxisTests",0,0
Public Class,"org.jfree.chart.axis.junit.LogAxisTests",0,0
Public Class,"org.jfree.chart.axis.junit.LogarithmicAxisTests",35,50
Static Class,"org.jfree.chart.axis.junit.LogarithmicAxisTests.MyLogarithmicAxis",0,0
Public Class,"org.jfree.chart.axis.junit.MarkerAxisBandTests",0,0
Public Class,"org.jfree.chart.axis.junit.ModuloAxisTests",0,0
Public Class,"org.jfree.chart.axis.junit.MonthDateFormatTests",0,0
Public Class,"org.jfree.chart.axis.junit.NumberAxis3DTests",0,0
Public Class,"org.jfree.chart.axis.junit.NumberAxisTests",0,0
Public Class,"org.jfree.chart.axis.junit.NumberTickUnitTests",0,0
Public Class,"org.jfree.chart.axis.junit.PeriodAxisLabelInfoTests",0,0
Public Class,"org.jfree.chart.axis.junit.PeriodAxisTests",80,80
Public Class,"org.jfree.chart.axis.junit.QuarterDateFormatTests",0,0
Public Class,"org.jfree.chart.axis.junit.SegmentedTimelineTests",84,87
Public Class,"org.jfree.chart.axis.junit.SegmentedTimelineTests2",0,0
Public Class,"org.jfree.chart.axis.junit.StandardTickUnitSourceTests",0,0
Public Class,"org.jfree.chart.axis.junit.SubCategoryAxisTests",0,0
Public Class,"org.jfree.chart.axis.junit.SymbolAxisTests",0,0
Public Class,"org.jfree.chart.axis.junit.TickUnitsTests",0,0
Public Class,"org.jfree.chart.axis.junit.ValueAxisTests",0,0
Public Class,"org.jfree.chart.block.AbstractBlock",73,79
Public Interface,"org.jfree.chart.block.Arrangement",0,0
Public Interface,"org.jfree.chart.block.Block",0,0
Public Class,"org.jfree.chart.block.BlockBorder",18,55
Public Class,"org.jfree.chart.block.BlockContainer",32,50
Public Interface,"org.jfree.chart.block.BlockFrame",0,0
Public Class,"org.jfree.chart.block.BlockParams",57,57
Public Class,"org.jfree.chart.block.BlockResult",0,0
Public Class,"org.jfree.chart.block.BorderArrangement",10,30
Public Class,"org.jfree.chart.block.CenterArrangement",0,0
Public Class,"org.jfree.chart.block.ColorBlock",13,25
Public Class,"org.jfree.chart.block.ColumnArrangement",50,73
Public Class,"org.jfree.chart.block.EmptyBlock",0,0
Public Interface,"org.jfree.chart.block.EntityBlockParams",0,0
Public Interface,"org.jfree.chart.block.EntityBlockResult",0,0
Public Class,"org.jfree.chart.block.FlowArrangement",39,79
Public Class,"org.jfree.chart.block.GridArrangement",14,57
Public Class,"org.jfree.chart.block.LabelBlock",62,75
Public Final Class,"org.jfree.chart.block.LengthConstraintType",0,20
Public Class,"org.jfree.chart.block.LineBorder",30,48
Public Class,"org.jfree.chart.block.RectangleConstraint",29,60
Public Class,"org.jfree.chart.block.junit.AbstractBlockTests",0,0
Public Class,"org.jfree.chart.block.junit.BlockBorderTests",0,0
Public Class,"org.jfree.chart.block.junit.BlockContainerTests",0,0
Public Class,"org.jfree.chart.block.junit.BlockPackageTests",0,0
Public Class,"org.jfree.chart.block.junit.BorderArrangementTests",0,0
Public Class,"org.jfree.chart.block.junit.ColorBlockTests",0,0
Public Class,"org.jfree.chart.block.junit.ColumnArrangementTests",0,0
Public Class,"org.jfree.chart.block.junit.EmptyBlockTests",0,0
Public Class,"org.jfree.chart.block.junit.FlowArrangementTests",0,0
Public Class,"org.jfree.chart.block.junit.GridArrangementTests",0,0
Public Class,"org.jfree.chart.block.junit.LabelBlockTests",0,0
Public Class,"org.jfree.chart.block.junit.LineBorderTests",0,0
Public Class,"org.jfree.chart.block.junit.RectangleConstraintTests",0,0
Public Class,"org.jfree.chart.demo.BarChartDemo1",0,0
Public Class,"org.jfree.chart.demo.PieChartDemo1",0,0
Public Class,"org.jfree.chart.demo.TimeSeriesChartDemo1",0,0
Public Interface,"org.jfree.chart.editor.ChartEditor",0,0
Public Interface,"org.jfree.chart.editor.ChartEditorFactory",0,0
Public Class,"org.jfree.chart.editor.ChartEditorManager",25,25
Class,"org.jfree.chart.editor.DefaultAxisEditor",75,87
Class,"org.jfree.chart.editor.DefaultChartEditor",57,68
Public Class,"org.jfree.chart.editor.DefaultChartEditorFactory",0,0
Class,"org.jfree.chart.editor.DefaultNumberAxisEditor",64,73
Class,"org.jfree.chart.editor.DefaultPlotEditor",75,82
Class,"org.jfree.chart.editor.DefaultTitleEditor",57,73
Public Class,"org.jfree.chart.encoders.EncoderUtil",0,0
Public Interface,"org.jfree.chart.encoders.ImageEncoder",0,0
Public Class,"org.jfree.chart.encoders.ImageEncoderFactory",0,50
Public Interface,"org.jfree.chart.encoders.ImageFormat",0,0
Public Class,"org.jfree.chart.encoders.SunJPEGEncoderAdapter",57,57
Public Class,"org.jfree.chart.encoders.SunPNGEncoderAdapter",0,0
Public Class,"org.jfree.chart.entity.AxisEntity",50,70
Public Class,"org.jfree.chart.entity.AxisLabelEntity",0,0
Public Class,"org.jfree.chart.entity.CategoryItemEntity",44,44
Public Class,"org.jfree.chart.entity.CategoryLabelEntity",0,0
Public Class,"org.jfree.chart.entity.ChartEntity",53,65
Public Interface,"org.jfree.chart.entity.EntityCollection",0,0
Public Class,"org.jfree.chart.entity.JFreeChartEntity",50,70
Public Class,"org.jfree.chart.entity.LegendItemEntity",50,50
Public Class,"org.jfree.chart.entity.PieSectionEntity",56,56
Public Class,"org.jfree.chart.entity.PlotEntity",50,70
Public Class,"org.jfree.chart.entity.StandardEntityCollection",0,0
Public Class,"org.jfree.chart.entity.TickLabelEntity",0,0
Public Class,"org.jfree.chart.entity.TitleEntity",50,70
Public Class,"org.jfree.chart.entity.XYAnnotationEntity",0,0
Public Class,"org.jfree.chart.entity.XYItemEntity",48,59
Public Class,"org.jfree.chart.entity.junit.CategoryItemEntityTests",0,0
Public Class,"org.jfree.chart.entity.junit.CategoryLabelEntityTests",0,0
Public Class,"org.jfree.chart.entity.junit.EntityPackageTests",0,0
Public Class,"org.jfree.chart.entity.junit.LegendItemEntityTests",0,0
Public Class,"org.jfree.chart.entity.junit.PieSectionEntityTests",0,0
Public Class,"org.jfree.chart.entity.junit.StandardEntityCollectionTests",0,0
Public Class,"org.jfree.chart.entity.junit.TickLabelEntityTests",0,0
Public Class,"org.jfree.chart.entity.junit.XYItemEntityTests",0,0
Public Class,"org.jfree.chart.event.AnnotationChangeEvent",0,0
Public Interface,"org.jfree.chart.event.AnnotationChangeListener",0,0
Public Class,"org.jfree.chart.event.AxisChangeEvent",0,0
Public Interface,"org.jfree.chart.event.AxisChangeListener",0,0
Public Class,"org.jfree.chart.event.ChartChangeEvent",29,57
Public Final Class,"org.jfree.chart.event.ChartChangeEventType",0,20
Public Interface,"org.jfree.chart.event.ChartChangeListener",0,0
Public Class,"org.jfree.chart.event.ChartProgressEvent",57,57
Public Interface,"org.jfree.chart.event.ChartProgressListener",0,0
Public Class,"org.jfree.chart.event.DatasetChangeInfo",0,0
Public Class,"org.jfree.chart.event.MarkerChangeEvent",0,0
Public Interface,"org.jfree.chart.event.MarkerChangeListener",0,0
Public Class,"org.jfree.chart.event.OverlayChangeEvent",0,0
Public Interface,"org.jfree.chart.event.OverlayChangeListener",0,0
Public Class,"org.jfree.chart.event.PlotChangeEvent",0,0
Public Interface,"org.jfree.chart.event.PlotChangeListener",0,0
Public Class,"org.jfree.chart.event.RendererChangeEvent",25,50
Public Interface,"org.jfree.chart.event.RendererChangeListener",0,0
Public Class,"org.jfree.chart.event.TitleChangeEvent",0,0
Public Interface,"org.jfree.chart.event.TitleChangeListener",0,0
Public Class,"org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator",33,33
Public Class,"org.jfree.chart.imagemap.ImageMapUtilities",0,0
Public Class,"org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator",0,0
Public Class,"org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator",0,0
Public Class,"org.jfree.chart.imagemap.StandardURLTagFragmentGenerator",0,0
Public Interface,"org.jfree.chart.imagemap.ToolTipTagFragmentGenerator",0,0
Public Interface,"org.jfree.chart.imagemap.URLTagFragmentGenerator",0,0
Public Class,"org.jfree.chart.imagemap.junit.DynamicDriveToolTipTagFragmentGeneratorTests",0,0
Public Class,"org.jfree.chart.imagemap.junit.ImageMapPackageTests",0,0
Public Class,"org.jfree.chart.imagemap.junit.ImageMapUtilitiesTests",0,0
Public Class,"org.jfree.chart.imagemap.junit.OverLIBToolTipTagFragmentGeneratorTests",0,0
Public Class,"org.jfree.chart.imagemap.junit.StandardToolTipTagFragmentGeneratorTests",0,0
Public Class,"org.jfree.chart.imagemap.junit.StandardURLTagFragmentGeneratorTests",0,0
Public Class,"org.jfree.chart.junit.AreaChartTests",38,38
Static Class,"org.jfree.chart.junit.AreaChartTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.BarChart3DTests",38,38
Static Class,"org.jfree.chart.junit.BarChart3DTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.BarChartTests",38,38
Static Class,"org.jfree.chart.junit.BarChartTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.ChartPackageTests",0,0
Public Class,"org.jfree.chart.junit.ChartPanelTests",42,42
Public Class,"org.jfree.chart.junit.ChartRenderingInfoTests",0,0
Public Class,"org.jfree.chart.junit.GanttChartTests",55,55
Static Class,"org.jfree.chart.junit.GanttChartTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.JFreeChartTestSuite",0,0
Public Class,"org.jfree.chart.junit.JFreeChartTests",84,84
Public Class,"org.jfree.chart.junit.LegendItemCollectionTests",0,0
Public Class,"org.jfree.chart.junit.LegendItemTests",0,0
Public Class,"org.jfree.chart.junit.LineChart3DTests",38,38
Static Class,"org.jfree.chart.junit.LineChart3DTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.LineChartTests",38,38
Static Class,"org.jfree.chart.junit.LineChartTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.MeterChartTests",0,0
Public Class,"org.jfree.chart.junit.PieChart3DTests",67,67
Static Class,"org.jfree.chart.junit.PieChart3DTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.PieChartTests",60,60
Static Class,"org.jfree.chart.junit.PieChartTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.ScatterPlotTests",43,43
Static Class,"org.jfree.chart.junit.ScatterPlotTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.StackedAreaChartTests",38,38
Static Class,"org.jfree.chart.junit.StackedAreaChartTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.StackedBarChart3DTests",38,38
Static Class,"org.jfree.chart.junit.StackedBarChart3DTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.StackedBarChartTests",38,38
Static Class,"org.jfree.chart.junit.StackedBarChartTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.StandardChartThemeTests",0,0
Public Class,"org.jfree.chart.junit.TestUtilities",0,0
Public Class,"org.jfree.chart.junit.TimeSeriesChartTests",43,43
Static Class,"org.jfree.chart.junit.TimeSeriesChartTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.WaterfallChartTests",43,43
Public Class,"org.jfree.chart.junit.XYAreaChartTests",43,43
Static Class,"org.jfree.chart.junit.XYAreaChartTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.XYBarChartTests",43,43
Static Class,"org.jfree.chart.junit.XYBarChartTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.XYLineChartTests",43,43
Static Class,"org.jfree.chart.junit.XYLineChartTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.XYStepAreaChartTests",43,43
Static Class,"org.jfree.chart.junit.XYStepAreaChartTests.LocalListener",0,0
Public Class,"org.jfree.chart.junit.XYStepChartTests",43,43
Static Class,"org.jfree.chart.junit.XYStepChartTests.LocalListener",0,0
Public Abstract Class,"org.jfree.chart.labels.AbstractCategoryItemLabelGenerator",43,57
Public Class,"org.jfree.chart.labels.AbstractPieItemLabelGenerator",30,37
Public Class,"org.jfree.chart.labels.AbstractXYItemLabelGenerator",59,65
Public Class,"org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator",0,0
Public Class,"org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator",0,0
Public Class,"org.jfree.chart.labels.BubbleXYItemLabelGenerator",30,50
Public Interface,"org.jfree.chart.labels.CategoryItemLabelGenerator",0,0
Public Interface,"org.jfree.chart.labels.CategorySeriesLabelGenerator",0,0
Public Interface,"org.jfree.chart.labels.CategoryToolTipGenerator",0,0
Public Interface,"org.jfree.chart.labels.CrosshairLabelGenerator",0,0
Public Class,"org.jfree.chart.labels.CustomXYToolTipGenerator",13,38
Public Class,"org.jfree.chart.labels.HighLowItemLabelGenerator",14,29
Public Class,"org.jfree.chart.labels.IntervalCategoryItemLabelGenerator",0,0
Public Class,"org.jfree.chart.labels.IntervalCategoryToolTipGenerator",0,0
Public Class,"org.jfree.chart.labels.IntervalXYItemLabelGenerator",0,0
Public Final Class,"org.jfree.chart.labels.ItemLabelAnchor",0,25
Public Class,"org.jfree.chart.labels.ItemLabelPosition",38,63
Public Class,"org.jfree.chart.labels.MultipleXYSeriesLabelGenerator",33,44
Public Interface,"org.jfree.chart.labels.PieSectionLabelGenerator",0,0
Public Interface,"org.jfree.chart.labels.PieToolTipGenerator",0,0
Public Class,"org.jfree.chart.labels.StandardCategoryItemLabelGenerator",0,0
Public Class,"org.jfree.chart.labels.StandardCategorySeriesLabelGenerator",29,43
Public Class,"org.jfree.chart.labels.StandardCategoryToolTipGenerator",0,0
Public Class,"org.jfree.chart.labels.StandardCrosshairLabelGenerator",21,36
Public Class,"org.jfree.chart.labels.StandardPieSectionLabelGenerator",18,64
Public Class,"org.jfree.chart.labels.StandardPieToolTipGenerator",0,0
Public Class,"org.jfree.chart.labels.StandardXYItemLabelGenerator",0,0
Public Class,"org.jfree.chart.labels.StandardXYSeriesLabelGenerator",29,43
Public Class,"org.jfree.chart.labels.StandardXYToolTipGenerator",0,0
Public Class,"org.jfree.chart.labels.StandardXYZToolTipGenerator",33,56
Public Class,"org.jfree.chart.labels.SymbolicXYItemLabelGenerator",0,0
Public Interface,"org.jfree.chart.labels.XYItemLabelGenerator",0,0
Public Interface,"org.jfree.chart.labels.XYSeriesLabelGenerator",0,0
Public Interface,"org.jfree.chart.labels.XYToolTipGenerator",0,0
Public Interface,"org.jfree.chart.labels.XYZToolTipGenerator",0,0
Public Class,"org.jfree.chart.labels.junit.BoxAndWhiskerToolTipGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.BoxAndWhiskerXYToolTipGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.BubbleXYItemLabelGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.CustomXYItemLabelGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.HighLowItemLabelGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.IntervalCategoryItemLabelGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.IntervalCategoryToolTipGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.ItemLabelAnchorTests",0,0
Public Class,"org.jfree.chart.labels.junit.ItemLabelPositionTests",0,0
Public Class,"org.jfree.chart.labels.junit.LabelsPackageTests",0,0
Public Class,"org.jfree.chart.labels.junit.MultipleXYSeriesLabelGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.StandardCategoryItemLabelGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.StandardCategorySeriesLabelGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.StandardCategoryToolTipGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.StandardPieSectionLabelGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.StandardPieToolTipGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.StandardXYItemLabelGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.StandardXYSeriesLabelGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.StandardXYToolTipGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.StandardXYZToolTipGeneratorTests",0,0
Public Class,"org.jfree.chart.labels.junit.SymbolicXYItemLabelGeneratorTests",0,0
Public Class,"org.jfree.chart.needle.ArrowNeedle",20,20
Public Class,"org.jfree.chart.needle.LineNeedle",0,0
Public Class,"org.jfree.chart.needle.LongNeedle",0,0
Public Abstract Class,"org.jfree.chart.needle.MeterNeedle",75,78
Public Class,"org.jfree.chart.needle.MiddlePinNeedle",0,0
Public Class,"org.jfree.chart.needle.PinNeedle",0,0
Public Class,"org.jfree.chart.needle.PlumNeedle",0,0
Public Class,"org.jfree.chart.needle.PointerNeedle",0,0
Public Class,"org.jfree.chart.needle.ShipNeedle",0,0
Public Class,"org.jfree.chart.needle.WindNeedle",0,0
Public Class,"org.jfree.chart.needle.junit.ArrowNeedleTests",0,0
Public Class,"org.jfree.chart.needle.junit.LineNeedleTests",0,0
Public Class,"org.jfree.chart.needle.junit.LongNeedleTests",0,0
Public Class,"org.jfree.chart.needle.junit.MeterNeedleTests",0,0
Public Class,"org.jfree.chart.needle.junit.MiddlePinNeedleTests",0,0
Public Class,"org.jfree.chart.needle.junit.NeedlePackageTests",0,0
Public Class,"org.jfree.chart.needle.junit.PinNeedleTests",0,0
Public Class,"org.jfree.chart.needle.junit.PlumNeedleTests",0,0
Public Class,"org.jfree.chart.needle.junit.PointerNeedleTests",0,0
Public Class,"org.jfree.chart.needle.junit.ShipNeedleTests",0,0
Public Class,"org.jfree.chart.needle.junit.WindNeedleTests",0,0
Public Class,"org.jfree.chart.panel.AbstractMouseHandler",70,70
Public Class,"org.jfree.chart.panel.AbstractOverlay",0,20
Public Class,"org.jfree.chart.panel.CrosshairOverlay",60,60
Public Interface,"org.jfree.chart.panel.Overlay",0,0
Public Class,"org.jfree.chart.panel.PanHandler",33,33
Public Class,"org.jfree.chart.panel.RegionSelectionHandler",60,68
Public Class,"org.jfree.chart.panel.ZoomHandler",40,40
Public Abstract Class,"org.jfree.chart.plot.AbstractPieLabelDistributor",0,0
Public Class,"org.jfree.chart.plot.CategoryCrosshairState",29,29
Public Class,"org.jfree.chart.plot.CategoryMarker",44,56
Public Class,"org.jfree.chart.plot.CategoryPlot",95,97
Public Class,"org.jfree.chart.plot.CombinedDomainCategoryPlot",60,71
Public Class,"org.jfree.chart.plot.CombinedDomainXYPlot",63,72
Public Class,"org.jfree.chart.plot.CombinedRangeCategoryPlot",58,65
Public Class,"org.jfree.chart.plot.CombinedRangeXYPlot",63,71
Public Class,"org.jfree.chart.plot.CompassPlot",87,89
Public Class,"org.jfree.chart.plot.Crosshair",78,83
Public Class,"org.jfree.chart.plot.CrosshairState",78,86
Public Final Class,"org.jfree.chart.plot.DatasetRenderingOrder",0,20
Public Class,"org.jfree.chart.plot.DefaultDrawingSupplier",75,78
Public Final Class,"org.jfree.chart.plot.DialShape",0,20
Public Interface,"org.jfree.chart.plot.DrawingSupplier",0,0
Public Class,"org.jfree.chart.plot.FastScatterPlot",85,89
Public Class,"org.jfree.chart.plot.IntervalMarker",45,64
Public Abstract Class,"org.jfree.chart.plot.Marker",78,86
Public Class,"org.jfree.chart.plot.MeterInterval",48,58
Public Class,"org.jfree.chart.plot.MeterPlot",84,89
Public Class,"org.jfree.chart.plot.MultiplePiePlot",68,74
Public Interface,"org.jfree.chart.plot.Pannable",0,0
Public Class,"org.jfree.chart.plot.PieLabelDistributor",56,67
