Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,Essential,MaxCyclomatic,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumEssential
File,"AnnotationChangeEvent.java",11,0,4,8,1,1,0.00,0.00,0,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,80,7,12,6,3,61,,6,9,6,3,,,1,1,,0,,,5.08,2,2
File,"AnnotationChangeListener.java",0,0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,65,7,6,5,0,52,,4,5,5,0,,,0,0,,0,,,8.67,0,0
File,"AnnotationsPackageTests.java",13,0,8,5,1,1,0.00,0.00,0,0,,,,,1,2,0,3,,3,1,0,3,,0,0,0,3,,100,8,29,9,17,63,,21,25,9,17,,,1,1,,0,,,2.17,3,3
File,"ApplicationFrame.java",9,0,3,6,1,1,0.00,0.00,0,0,,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,133,13,28,13,5,92,,8,18,13,5,,,2,1,,1,,,3.29,9,8
File,"ArcDialFrame.java",15,0,8,7,2,1,0.00,0.00,0,0,,,,,1,0,1,25,,25,25,7,25,,0,2,1,22,,520,44,227,86,131,249,,131,171,75,113,,,10,10,,1,,,1.10,39,34
File,"ArcDialFrameTests.java",22,2,15,5,1,1,0.00,0.00,0,0,,,,,1,1,0,6,,6,5,0,6,,0,0,0,6,,202,23,106,36,74,73,,79,88,35,65,,,2,1,,1,,,0.69,8,6
File,"AreaChartTests.java",13,0,8,4,1,1,0.00,0.00,0,0,,,,,2,2,0,9,,9,7,2,9,,0,1,1,7,,212,22,104,62,55,86,,62,74,54,36,,,2,1,,1,,,0.83,10,9
File,"AreaRenderer.java",35,3,24,9,4,2,0.00,0.00,0,0,,,,,1,0,1,7,,7,7,1,7,,0,0,0,7,,368,33,189,74,125,146,,111,143,65,105,,,16,4,,2,,,0.77,31,14
File,"AreaRendererEndType.java",15,1,8,6,3,2,0.00,0.00,0,0,,,,,1,0,4,4,,4,4,1,4,,0,2,0,2,,140,17,45,18,25,78,,20,31,15,19,,,4,4,,1,,,1.73,10,7
File,"AreaRendererEndTypeTests.java",13,1,9,4,1,1,0.00,0.00,0,0,,,,,1,1,0,4,,4,3,0,4,,0,0,0,4,,118,13,47,23,24,58,,29,35,22,16,,,2,1,,1,,,1.23,5,4
File,"AreaRendererTests.java",13,0,10,4,1,1,0.00,0.00,0,0,,,,,1,1,0,8,,8,7,0,8,,0,0,0,8,,188,16,97,49,56,76,,69,80,47,50,,,2,1,,1,,,0.78,10,8
File,"Arrangement.java",0,0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,3,3,0,3,,0,0,0,3,,86,8,10,9,0,68,,6,7,7,0,,,0,0,,0,,,6.80,0,0
File,"ArrayUtilities.java",25,1,16,8,5,5,0.00,0.00,0,0,,,,,1,5,0,6,,6,1,0,6,,0,1,0,5,,206,17,100,19,58,89,,47,79,24,57,,,10,10,,4,,,0.89,31,29
File,"ArrowNeedle.java",21,1,13,7,2,2,0.00,0.00,0,0,,,,,1,0,1,5,,5,5,1,5,,0,0,1,4,,181,18,77,27,44,86,,43,56,25,37,,,5,5,,1,,,1.12,12,9
File,"ArrowNeedleTests.java",14,0,10,4,1,1,0.00,0.00,0,0,,,,,1,1,0,5,,5,4,0,5,,0,0,0,5,,134,11,62,27,35,61,,40,48,26,29,,,2,1,,1,,,0.98,7,5
File,"AttributedStringUtilities.java",26,0,18,8,5,5,0.00,0.00,0,0,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,107,6,43,17,25,58,,25,35,18,25,,,8,8,,3,,,1.35,9,9
File,"Axis.java",18,0,9,8,2,1,0.00,0.00,0,0,,,,,1,0,16,65,,69,69,26,69,,0,2,7,60,,1578,145,670,225,382,764,,333,471,197,324,,,27,27,,3,,,1.14,137,91
File,"AxisChangeEvent.java",9,0,4,5,1,1,0.00,0.00,0,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,74,7,12,6,3,55,,6,9,6,3,,,1,1,,0,,,4.58,2,2
File,"AxisChangeListener.java",0,0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,66,5,5,4,0,56,,3,4,4,0,,,0,0,,0,,,11.20,0,0
File,"AxisCollection.java",12,0,6,6,2,1,0.00,0.00,0,0,,,,,1,0,0,6,,6,6,4,6,,0,0,0,6,,144,15,47,14,20,82,,21,34,14,20,,,7,1,,1,,,1.74,12,6
File,"AxisEntity.java",13,0,6,7,2,2,0.00,0.00,0,0,,,,,1,0,1,10,,10,10,1,10,,0,2,0,8,,211,18,76,27,35,117,,38,56,25,32,,,7,7,,1,,,1.54,17,16
File,"AxisLabelEntity.java",12,0,6,6,1,1,0.00,0.00,0,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,98,10,23,10,9,65,,12,17,9,9,,,2,1,,1,,,2.83,4,3
File,"AxisLocation.java",17,0,10,7,3,2,0.00,0.00,0,0,,,,,1,1,5,6,,6,5,1,6,,0,2,0,4,,185,18,74,22,43,93,,30,49,18,35,,,6,5,,1,,,1.26,18,13
File,"AxisLocationTests.java",12,0,8,4,1,1,0.00,0.00,0,0,,,,,1,1,0,5,,5,4,0,5,,0,0,0,5,,128,12,54,28,29,62,,36,43,27,21,,,2,1,,1,,,1.15,6,5
File,"AxisPackageTests.java",20,0,15,5,1,1,0.00,0.00,0,0,,,,,1,2,0,3,,3,1,0,3,,0,0,0,3,,125,8,50,9,38,67,,42,46,9,38,,,1,1,,0,,,1.34,3,3
File,"AxisSpace.java",15,0,9,6,2,1,0.00,0.00,0,0,,,,,1,0,1,19,,19,19,4,19,,0,0,0,19,,379,29,186,34,110,164,,69,114,34,81,,,9,7,,2,,,0.88,44,25
File,"AxisSpaceTests.java",14,1,10,4,1,1,0.00,0.00,0,0,,,,,1,1,0,5,,5,4,0,5,,0,0,0,5,,132,15,55,19,36,62,,39,46,19,34,,,2,1,,1,,,1.13,6,5
File,"AxisState.java",9,0,4,5,1,1,0.00,0.00,0,0,,,,,1,0,0,13,,13,13,3,13,,0,0,0,13,,193,20,59,20,21,114,,23,41,20,21,,,5,1,,1,,,1.93,17,13
File,"AxisTests.java",40,5,28,8,1,1,0.00,0.00,0,0,,,,,1,1,0,5,,5,4,0,5,,0,0,0,5,,272,37,151,26,126,84,,127,134,26,116,,,2,1,,1,,,0.56,6,5
File,"BarChart3DTests.java",14,1,8,5,1,1,0.00,0.00,0,0,,,,,2,2,0,9,,9,7,2,9,,0,1,1,7,,225,27,104,62,55,94,,62,74,54,36,,,2,1,,1,,,0.90,10,9
File,"BarChartDemo1.java",29,4,17,9,1,1,0.00,0.00,0,0,,,,,1,3,0,4,,4,1,0,4,,0,2,0,2,,188,25,85,47,58,78,,69,74,43,44,,,1,1,,0,,,0.92,4,4
File,"BarChartTests.java",14,1,8,5,1,1,0.00,0.00,0,0,,,,,2,2,0,9,,9,7,2,9,,0,1,1,7,,229,31,104,62,55,94,,62,74,54,36,,,2,1,,1,,,0.90,10,9
File,"BarPainter.java",0,0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,2,2,0,2,,0,0,0,2,,97,7,12,11,0,78,,6,7,7,0,,,0,0,,0,,,6.50,0,0
File,"BarRenderer.java",24,1,14,10,3,2,0.00,0.00,0,0,,,,,1,4,5,48,,48,44,14,48,,0,4,5,39,,1456,106,730,242,445,625,,335,477,196,354,,,26,16,,4,,,0.86,143,74
File,"BarRenderer3D.java",38,3,25,9,3,2,0.00,0.00,0,0,,,,,1,0,4,17,,17,17,3,17,,0,2,0,15,,831,82,478,224,344,272,,315,365,185,286,,,11,6,,2,,,0.57,53,26
File,"BarRenderer3DTests.java",14,1,10,4,1,1,0.00,0.00,0,0,,,,,1,1,0,7,,7,6,0,7,,0,0,0,7,,173,17,86,37,52,70,,58,68,36,44,,,2,1,,1,,,0.81,9,7
File,"BarRendererTests.java",22,2,15,5,1,1,0.00,0.00,0,0,,,,,1,1,0,11,,11,10,0,11,,0,0,0,11,,342,42,199,70,143,103,,158,172,67,130,,,2,1,,1,,,0.52,13,11
File,"BasicProjectInfo.java",11,0,6,5,2,1,0.00,0.00,0,0,,,,,2,0,0,19,,19,19,5,19,,0,0,1,18,,304,29,127,41,58,148,,53,85,37,53,,,4,4,,2,,,1.17,30,22
File,"Block.java",0,0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,7,7,0,7,,0,0,0,7,,122,12,14,13,0,96,,12,13,13,0,,,0,0,,0,,,6.86,0,0
File,"BlockBorder.java",14,0,7,6,2,1,0.00,0.00,0,0,,,,,1,0,2,11,,11,11,2,11,,0,2,0,9,,244,20,101,41,51,123,,54,76,38,48,,,5,5,,1,,,1.22,21,15
File,"BlockBorderTests.java",15,1,10,4,1,1,0.00,0.00,0,0,,,,,1,1,0,5,,5,4,0,5,,0,0,0,5,,145,14,67,33,38,64,,42,49,29,27,,,2,1,,1,,,0.96,6,5
File,"BlockContainer.java",13,0,7,6,2,1,0.00,0.00,0,0,,,,,1,0,1,14,,14,14,2,14,,0,0,0,14,,282,22,120,45,62,140,,61,89,43,54,,,7,6,,3,,,1.17,27,19
File,"BlockContainerTests.java",16,1,11,4,1,1,0.00,0.00,0,0,,,,,1,1,0,5,,5,4,0,5,,0,0,0,5,,147,16,70,30,40,61,,48,56,29,34,,,2,1,,1,,,0.87,7,5
File,"BlockFrame.java",0,0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,2,2,0,2,,0,0,0,2,,74,7,9,8,0,58,,7,8,8,0,,,0,0,,0,,,6.44,0,0
File,"BlockPackageTests.java",12,0,7,5,1,1,0.00,0.00,0,0,,,,,1,2,0,3,,3,1,0,3,,0,0,0,3,,100,8,28,9,16,64,,20,24,9,16,,,1,1,,0,,,2.29,3,3
File,"BlockParams.java",9,0,3,5,1,1,0.00,0.00,0,0,,,,,1,0,0,7,,7,7,3,7,,0,0,0,7,,137,13,29,12,9,95,,13,21,12,9,,,1,1,,0,,,3.28,7,7
File,"BlockResult.java",7,0,3,4,1,1,0.00,0.00,0,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,79,8,14,7,3,57,,6,10,7,3,,,1,1,,0,,,4.07,3,3
File,"BooleanList.java",9,0,3,6,1,1,0.00,0.00,0,0,,,,,1,0,1,5,,5,5,0,5,,0,0,0,5,,107,8,21,8,7,78,,7,14,8,6,,,2,1,,1,,,3.71,6,5
File,"BooleanListTests.java",17,2,11,4,1,1,0.00,0.00,0,0,,,,,1,1,0,6,,6,5,0,6,,0,0,0,6,,170,26,80,30,51,64,,56,65,29,45,,,2,1,,1,,,0.80,8,6
File,"BorderArrangement.java",44,1,35,8,7,2,0.00,0.00,0,0,,,,,1,0,1,10,,10,10,5,10,,0,0,5,5,,534,29,369,109,264,136,,171,242,86,205,,,13,8,,2,,,0.37,70,17
File,"BorderArrangementTests.java",96,10,66,20,1,1,0.00,0.00,0,0,,,,,1,1,1,8,,8,7,0,8,,0,0,0,8,,847,95,548,61,507,204,,519,529,55,497,,,2,1,,1,,,0.37,9,8
File,"BoxAndWhiskerCalculator.java",44,3,29,12,6,1,0.00,0.00,0,0,,,,,1,4,0,4,,4,0,0,4,,0,0,0,4,,240,20,121,38,79,99,,56,79,36,56,,,11,1,,4,,,0.82,22,4
File,"BoxAndWhiskerCalculatorTests.java",20,1,14,4,2,1,0.00,0.00,0,0,,,,,1,1,1,6,,6,5,0,6,,0,0,0,6,,182,17,97,29,67,68,,69,79,27,60,,,2,1,,1,,,0.70,9,6
File,"BoxAndWhiskerCategoryDataset.java",0,0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,18,18,0,18,,0,0,0,18,,240,23,23,22,0,194,,21,22,22,0,,,0,0,,0,,,8.43,0,0
File,"BoxAndWhiskerItem.java",15,0,8,7,2,2,0.00,0.00,0,0,,,,,1,0,1,13,,13,13,9,13,,0,0,0,13,,297,33,117,40,53,147,,49,75,30,45,,,12,12,,1,,,1.26,25,24
File,"BoxAndWhiskerItemTests.java",16,2,11,4,1,1,0.00,0.00,0,0,,,,,1,1,0,4,,4,3,0,4,,0,0,0,4,,131,16,57,28,33,58,,29,35,24,17,,,2,1,,1,,,1.02,5,4
File,"BoxAndWhiskerRenderer.java",32,2,19,11,3,1,0.00,0.00,0,0,,,,,1,0,1,25,,25,25,6,25,,0,6,2,17,,997,92,523,227,346,385,,276,356,177,265,,,22,9,,3,,,0.74,81,35
File,"BoxAndWhiskerRendererTests.java",21,1,17,3,2,1,0.00,0.00,0,0,,,,,3,1,0,24,,24,23,0,24,,0,0,0,24,,594,46,431,169,313,128,,248,286,141,218,,,2,1,,1,,,0.30,37,24
File,"BoxAndWhiskerToolTipGenerator.java",15,0,9,7,2,2,0.00,0.00,0,0,,,,,1,0,2,4,,4,4,0,4,,0,0,1,3,,148,11,50,25,23,87,,27,35,18,19,,,3,3,,1,,,1.74,7,6
File,"BoxAndWhiskerToolTipGeneratorTests.java",14,1,9,4,1,1,0.00,0.00,0,0,,,,,1,1,0,7,,7,6,0,7,,0,0,0,7,,172,20,81,34,48,71,,51,61,33,38,,,2,1,,1,,,0.88,9,7
File,"BoxAndWhiskerXYDataset.java",0,0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,11,11,0,11,,0,0,0,11,,179,16,16,15,0,147,,14,15,15,0,,,0,0,,0,,,9.19,0,0
File,"BoxAndWhiskerXYToolTipGenerator.java",19,1,10,8,2,2,0.00,0.00,0,0,,,,,1,0,2,4,,4,4,0,4,,0,0,1,3,,167,14,55,24,27,98,,29,38,19,21,,,3,3,,1,,,1.78,8,6
File,"BoxAndWhiskerXYToolTipGeneratorTests.java",17,1,12,4,1,1,0.00,0.00,0,0,,,,,1,1,0,7,,7,6,0,7,,0,0,0,7,,195,21,100,42,59,74,,59,69,34,45,,,2,1,,1,,,0.74,9,7
File,"BubbleXYItemLabelGenerator.java",18,1,10,8,2,2,0.00,0.00,0,0,,,,,1,0,2,10,,10,10,2,10,,0,0,1,9,,277,25,114,40,60,138,,56,78,36,48,,,6,6,,1,,,1.21,21,15
File,"BubbleXYItemLabelGeneratorTests.java",20,2,14,4,1,1,0.00,0.00,0,0,,,,,1,1,0,8,,8,7,0,8,,0,0,0,8,,236,30,132,59,90,74,,103,114,56,81,,,2,1,,1,,,0.56,10,8
File,"BufferedImageRenderingSource.java",13,0,6,7,2,2,0.00,0.00,0,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,122,10,35,18,12,77,,18,26,17,12,,,3,3,,2,,,2.20,7,6
File,"CSV.java",22,0,14,8,3,1,0.00,0.00,0,0,,,,,1,0,0,6,,6,6,2,6,,0,3,0,3,,201,15,96,37,59,95,,51,68,35,43,,,4,1,,3,,,0.99,16,6
File,"CandlestickRenderer.java",24,1,12,10,3,1,0.00,0.00,0,0,,,,,1,0,4,31,,31,31,12,31,,0,2,0,29,,973,82,437,146,256,455,,225,303,132,203,,,26,13,,4,,,1.04,79,45
File,"CandlestickRendererTests.java",21,2,14,5,1,1,0.00,0.00,0,0,,,,,1,1,1,9,,9,8,0,9,,0,0,0,9,,274,35,149,54,106,90,,112,124,50,92,,,2,1,,1,,,0.60,11,9
File,"CategoryAnchor.java",15,1,8,6,3,3,0.00,0.00,0,0,,,,,1,0,4,4,,4,4,1,4,,0,2,0,2,,132,15,44,17,21,73,,19,30,14,19,,,4,4,,1,,,1.66,10,10
File,"CategoryAnchorTests.java",12,0,8,4,1,1,0.00,0.00,0,0,,,,,1,1,0,5,,5,4,0,5,,0,0,0,5,,128,13,53,27,28,62,,36,43,26,22,,,2,1,,1,,,1.17,6,5
File,"CategoryAnnotation.java",0,0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,76,6,12,11,0,58,,8,9,9,0,,,0,0,,0,,,4.83,0,0
File,"CategoryAxis.java",25,1,14,10,3,1,0.00,0.00,0,0,,,,,1,0,3,50,,50,50,10,50,,0,5,6,39,,1476,119,750,262,466,607,,364,504,209,377,,,14,13,,4,,,0.81,139,65
File,"CategoryAxis3D.java",30,2,18,10,3,1,0.00,0.00,0,0,,,,,1,0,1,5,,5,5,0,5,,0,0,0,5,,233,22,102,43,58,109,,47,65,33,46,,,7,1,,2,,,1.07,17,5
File,"CategoryAxis3DTests.java",14,1,9,4,2,1,0.00,0.00,0,0,,,,,1,1,0,4,,4,3,0,4,,0,0,0,4,,122,14,50,24,25,58,,31,38,23,20,,,2,1,,1,,,1.16,6,4
File,"CategoryAxisTests.java",26,2,18,6,1,1,0.00,0.00,0,0,,,,,1,1,0,7,,7,6,0,7,,0,0,0,7,,253,30,140,39,103,83,,106,117,38,91,,,2,1,,1,,,0.59,10,7
File,"CategoryCrosshairState.java",15,1,8,6,2,1,0.00,0.00,0,0,,,,,1,0,0,7,,7,7,2,7,,0,0,0,7,,181,19,63,25,33,99,,31,45,21,30,,,4,1,,2,,,1.57,13,7
File,"CategoryDataset.java",0,0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,69,5,5,4,0,59,,3,4,4,0,,,0,0,,0,,,11.80,0,0
File,"CategoryDatasetHandler.java",15,1,7,7,2,1,0.00,0.00,0,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,137,14,46,21,17,77,,19,29,16,16,,,4,1,,1,,,1.67,9,5
File,"CategoryDatasetSelectionState.java",0,0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,7,7,0,7,,0,0,0,7,,120,11,14,13,0,95,,11,12,12,0,,,0,0,,0,,,6.79,0,0
File,"CategoryItemEntity.java",15,0,6,9,2,2,0.00,0.00,0,0,,,,,1,0,1,9,,9,9,3,9,,0,0,0,9,,228,18,66,22,29,144,,29,46,20,26,,,6,6,,1,,,2.18,16,14
File,"CategoryItemEntityTests.java",22,2,16,4,1,1,0.00,0.00,0,0,,,,,1,1,0,5,,5,4,0,5,,0,0,0,5,,177,19,96,36,67,62,,71,79,31,58,,,2,1,,1,,,0.65,7,5
File,"CategoryItemLabelGenerator.java",0,0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,3,3,0,3,,0,0,0,3,,109,7,8,7,0,94,,6,7,7,0,,,0,0,,0,,,11.75,0,0
File,"CategoryItemRenderer.java",0,0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,153,153,0,153,,0,0,0,153,,2073,197,236,235,0,1640,,181,182,182,0,,,0,0,,0,,,6.95,0,0
File,"CategoryItemRendererState.java",12,0,5,8,1,1,0.00,0.00,0,0,,,,,1,0,0,13,,13,13,5,13,,1,0,0,12,,258,22,72,26,29,164,,35,54,27,27,,,4,4,,2,,,2.28,18,16
File,"CategoryLabelEntity.java",13,0,7,6,2,2,0.00,0.00,0,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,129,10,42,16,20,77,,23,32,15,19,,,4,4,,1,,,1.83,8,8
File,"CategoryLabelEntityTests.java",18,1,13,4,1,1,0.00,0.00,0,0,,,,,1,1,0,5,,5,4,0,5,,0,0,0,5,,155,16,78,32,50,61,,51,59,27,39,,,2,1,,1,,,0.78,7,5
File,"CategoryLabelPosition.java",15,0,8,7,2,2,0.00,0.00,0,0,,,,,1,0,1,12,,12,12,6,12,,0,0,0,12,,278,27,111,36,53,140,,46,71,27,44,,,9,9,,1,,,1.26,24,20
File,"CategoryLabelPositionTests.java",24,2,18,4,1,1,0.00,0.00,0,0,,,,,1,1,0,5,,5,4,0,5,,0,0,0,5,,192,20,109,35,80,63,,62,69,32,47,,,2,1,,1,,,0.58,6,5
