Kind,Name,PercentLackOfCohesionModified,PercentLackOfCohesion,LCOM,CohesionLevel
Public Class,org.apache.commons.lang3.SystemUtils,0,0,0,High
Public Class,org.apache.commons.lang3.Validate,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.exclusiveBetween.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.exclusiveBetween.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.inclusiveBetween.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.inclusiveBetween.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.noNullElements.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.noNullElements.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.noNullElements.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.noNullElements.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.notBlank.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.notBlank.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.notEmpty.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.notEmpty.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.notEmpty.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.notEmpty.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.notEmpty.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.notEmpty.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.notEmpty.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.notEmpty.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.notNull.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.notNull.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.validIndex.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.validIndex.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.validIndex.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.validIndex.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.validIndex.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Validate.validIndex.T,0,0,0,High
Public Generic Interface,org.apache.commons.lang3.builder.Builder,0,0,0,High
Generic Parameter,org.apache.commons.lang3.builder.Builder.T,0,0,0,High
Public Class,org.apache.commons.lang3.builder.CompareToBuilder,0,27,27,Medium
Public Class,org.apache.commons.lang3.builder.EqualsBuilder,18,32,32,Medium
Public Class,org.apache.commons.lang3.builder.HashCodeBuilder,19,41,41,Medium
Generic Parameter,org.apache.commons.lang3.builder.HashCodeBuilder.reflectionHashCode.T,0,0,0,High
Final Class,org.apache.commons.lang3.builder.IDKey,17,17,17,High
Public Class,org.apache.commons.lang3.builder.ReflectionToStringBuilder,53,91,91,Very Low
Generic Parameter,org.apache.commons.lang3.builder.ReflectionToStringBuilder.ReflectionToStringBuilder.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.builder.ReflectionToStringBuilder.toString.T,0,0,0,High
Public Class,org.apache.commons.lang3.builder.StandardToStringStyle,0,0,0,High
Public Class,org.apache.commons.lang3.builder.ToStringBuilder,52,58,58,Low
Generic Parameter,org.apache.commons.lang3.builder.ToStringBuilder.reflectionToString.T,0,0,0,High
Public Abstract Class,org.apache.commons.lang3.builder.ToStringStyle,88,96,96,Very Low
Private Static Final Class,org.apache.commons.lang3.builder.ToStringStyle.DefaultToStringStyle,0,0,0,High
Private Static Final Class,org.apache.commons.lang3.builder.ToStringStyle.MultiLineToStringStyle,0,0,0,High
Private Static Final Class,org.apache.commons.lang3.builder.ToStringStyle.NoFieldNameToStringStyle,0,0,0,High
Private Static Final Class,org.apache.commons.lang3.builder.ToStringStyle.ShortPrefixToStringStyle,0,0,0,High
Private Static Final Class,org.apache.commons.lang3.builder.ToStringStyle.SimpleToStringStyle,0,0,0,High
Public Abstract Generic Class,org.apache.commons.lang3.concurrent.AtomicInitializer,0,0,0,High
Generic Parameter,org.apache.commons.lang3.concurrent.AtomicInitializer.T,0,0,0,High
Public Abstract Generic Class,org.apache.commons.lang3.concurrent.AtomicSafeInitializer,0,0,0,High
Generic Parameter,org.apache.commons.lang3.concurrent.AtomicSafeInitializer.T,0,0,0,High
Public Abstract Generic Class,org.apache.commons.lang3.concurrent.BackgroundInitializer,61,81,81,Very Low
Private Class,org.apache.commons.lang3.concurrent.BackgroundInitializer.InitializationTask,0,0,0,High
Generic Parameter,org.apache.commons.lang3.concurrent.BackgroundInitializer.T,0,0,0,High
Public Class,org.apache.commons.lang3.concurrent.BasicThreadFactory,57,76,76,Very Low
Public Static Class,org.apache.commons.lang3.concurrent.BasicThreadFactory.Builder,57,71,71,Low
Public Generic Class,org.apache.commons.lang3.concurrent.CallableBackgroundInitializer,25,25,25,High
Generic Parameter,org.apache.commons.lang3.concurrent.CallableBackgroundInitializer.T,0,0,0,High
Public Class,org.apache.commons.lang3.concurrent.ConcurrentException,0,0,0,High
Public Generic Interface,org.apache.commons.lang3.concurrent.ConcurrentInitializer,0,0,0,High
Generic Parameter,org.apache.commons.lang3.concurrent.ConcurrentInitializer.T,0,0,0,High
Public Class,org.apache.commons.lang3.concurrent.ConcurrentRuntimeException,0,0,0,High
Public Class,org.apache.commons.lang3.concurrent.ConcurrentUtils,0,0,0,High
Static Final Generic Class,org.apache.commons.lang3.concurrent.ConcurrentUtils.ConstantFuture,50,50,50,Medium
Generic Parameter,org.apache.commons.lang3.concurrent.ConcurrentUtils.ConstantFuture.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.concurrent.ConcurrentUtils.constantFuture.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.concurrent.ConcurrentUtils.createIfAbsent.K,0,0,0,High
Generic Parameter,org.apache.commons.lang3.concurrent.ConcurrentUtils.createIfAbsent.V,0,0,0,High
Generic Parameter,org.apache.commons.lang3.concurrent.ConcurrentUtils.createIfAbsentUnchecked.K,0,0,0,High
Generic Parameter,org.apache.commons.lang3.concurrent.ConcurrentUtils.createIfAbsentUnchecked.V,0,0,0,High
Generic Parameter,org.apache.commons.lang3.concurrent.ConcurrentUtils.initialize.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.concurrent.ConcurrentUtils.initializeUnchecked.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.concurrent.ConcurrentUtils.putIfAbsent.K,0,0,0,High
Generic Parameter,org.apache.commons.lang3.concurrent.ConcurrentUtils.putIfAbsent.V,0,0,0,High
Public Generic Class,org.apache.commons.lang3.concurrent.ConstantInitializer,0,67,67,Low
Generic Parameter,org.apache.commons.lang3.concurrent.ConstantInitializer.T,0,0,0,High
Public Abstract Generic Class,org.apache.commons.lang3.concurrent.LazyInitializer,0,0,0,High
Generic Parameter,org.apache.commons.lang3.concurrent.LazyInitializer.T,0,0,0,High
Public Class,org.apache.commons.lang3.concurrent.MultiBackgroundInitializer,40,40,40,Medium
Public Static Class,org.apache.commons.lang3.concurrent.MultiBackgroundInitializer.MultiBackgroundInitializerResults,46,63,63,Low
Public Class,org.apache.commons.lang3.concurrent.TimedSemaphore,77,87,87,Very Low
Anonymous Class,org.apache.commons.lang3.concurrent.TimedSemaphore.startTimer.(Anon_1),0,0,0,High
Public Generic Class,org.apache.commons.lang3.event.EventListenerSupport,52,74,74,Low
Generic Parameter,org.apache.commons.lang3.event.EventListenerSupport.L,0,0,0,High
Protected Class,org.apache.commons.lang3.event.EventListenerSupport.ProxyInvocationHandler,0,0,0,High
Generic Parameter,org.apache.commons.lang3.event.EventListenerSupport.create.T,0,0,0,High
Public Class,org.apache.commons.lang3.event.EventUtils,0,0,0,High
Private Static Class,org.apache.commons.lang3.event.EventUtils.EventBindingInvocationHandler,11,11,11,High
Generic Parameter,org.apache.commons.lang3.event.EventUtils.addEventListener.L,0,0,0,High
Generic Parameter,org.apache.commons.lang3.event.EventUtils.bindEventsToMethod.L,0,0,0,High
Public Class,org.apache.commons.lang3.exception.CloneFailedException,0,0,0,High
Public Class,org.apache.commons.lang3.exception.ContextedException,14,14,14,High
Public Class,org.apache.commons.lang3.exception.ContextedRuntimeException,14,14,14,High
Public Class,org.apache.commons.lang3.exception.DefaultExceptionContext,0,0,0,High
Public Class,org.apache.commons.lang3.exception.ExceptionUtils,0,0,0,High
Public Final Class,org.apache.commons.lang3.math.Fraction,65,79,79,Very Low
Public Class,org.apache.commons.lang3.math.IEEE754rUtils,0,0,0,High
Public Class,org.apache.commons.lang3.math.NumberUtils,0,0,0,High
Public Generic Interface,org.apache.commons.lang3.mutable.Mutable,0,0,0,High
Generic Parameter,org.apache.commons.lang3.mutable.Mutable.T,0,0,0,High
Public Class,org.apache.commons.lang3.mutable.MutableBoolean,7,14,14,High
Public Class,org.apache.commons.lang3.mutable.MutableByte,4,9,9,High
Public Class,org.apache.commons.lang3.mutable.MutableDouble,4,8,8,High
Public Class,org.apache.commons.lang3.mutable.MutableFloat,4,8,8,High
Public Class,org.apache.commons.lang3.mutable.MutableInt,5,9,9,High
Public Class,org.apache.commons.lang3.mutable.MutableLong,5,9,9,High
Public Generic Class,org.apache.commons.lang3.mutable.MutableObject,14,14,14,High
Generic Parameter,org.apache.commons.lang3.mutable.MutableObject.T,0,0,0,High
Public Class,org.apache.commons.lang3.mutable.MutableShort,4,9,9,High
Class,org.apache.commons.lang3.reflect.AAAClass,0,0,0,High
Public Class,org.apache.commons.lang3.reflect.AAAClass.BBBClass,0,0,0,High
Generic Class,org.apache.commons.lang3.reflect.AAClass,0,0,0,High
Public Generic Class,org.apache.commons.lang3.reflect.AAClass.BBClass,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.AAClass.BBClass.S,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.AAClass.T,0,0,0,High
Class,org.apache.commons.lang3.reflect.AClass,100,100,100,Very Low
Public Generic Interface,org.apache.commons.lang3.reflect.AClass.AInterface,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.AClass.AInterface.T,0,0,0,High
Public Generic Class,org.apache.commons.lang3.reflect.AClass.BClass,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.AClass.BClass.T,0,0,0,High
Public Generic Class,org.apache.commons.lang3.reflect.AClass.CClass,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.AClass.CClass.T,0,0,0,High
Public Generic Class,org.apache.commons.lang3.reflect.AClass.DClass,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.AClass.DClass.T,0,0,0,High
Public Generic Class,org.apache.commons.lang3.reflect.AClass.EClass,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.AClass.EClass.T,0,0,0,High
Public Class,org.apache.commons.lang3.reflect.AClass.FClass,0,0,0,High
Public Generic Class,org.apache.commons.lang3.reflect.AClass.GClass,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.AClass.GClass.T,0,0,0,High
Public Class,org.apache.commons.lang3.reflect.ConstructorUtils,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.ConstructorUtils.getAccessibleConstructor.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.ConstructorUtils.getAccessibleConstructor.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.ConstructorUtils.getMatchingAccessibleConstructor.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.ConstructorUtils.invokeConstructor.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.ConstructorUtils.invokeConstructor.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.ConstructorUtils.invokeExactConstructor.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.ConstructorUtils.invokeExactConstructor.T,0,0,0,High
Public Class,org.apache.commons.lang3.reflect.FieldUtils,0,0,0,High
Abstract Class,org.apache.commons.lang3.reflect.MemberUtils,0,0,0,High
Public Class,org.apache.commons.lang3.reflect.MethodUtils,0,0,0,High
Public Class,org.apache.commons.lang3.reflect.TypeUtils,0,0,0,High
Generic Parameter,org.apache.commons.lang3.reflect.TypeUtils.mapTypeVariablesToArguments.T,0,0,0,High
Public Class,org.apache.commons.lang3.text.CompositeFormat,33,50,50,Medium
Public Class,org.apache.commons.lang3.text.ExtendedMessageFormat,67,79,79,Very Low
Public Class,org.apache.commons.lang3.text.FormattableUtils,0,0,0,High
Public Class,org.apache.commons.lang3.text.StrBuilder,46,76,76,Very Low
Class,org.apache.commons.lang3.text.StrBuilder.StrBuilderReader,56,56,56,Low
Class,org.apache.commons.lang3.text.StrBuilder.StrBuilderTokenizer,0,0,0,High
Class,org.apache.commons.lang3.text.StrBuilder.StrBuilderWriter,0,0,0,High
Generic Parameter,org.apache.commons.lang3.text.StrBuilder.appendAll.T,0,0,0,High
Public Abstract Generic Class,org.apache.commons.lang3.text.StrLookup,0,0,0,High
Static Generic Class,org.apache.commons.lang3.text.StrLookup.MapStrLookup,0,0,0,High
Generic Parameter,org.apache.commons.lang3.text.StrLookup.MapStrLookup.V,0,0,0,High
Generic Parameter,org.apache.commons.lang3.text.StrLookup.V,0,0,0,High
Generic Parameter,org.apache.commons.lang3.text.StrLookup.mapLookup.V,0,0,0,High
Public Abstract Class,org.apache.commons.lang3.text.StrMatcher,0,0,0,High
Static Final Class,org.apache.commons.lang3.text.StrMatcher.CharMatcher,0,0,0,High
Static Final Class,org.apache.commons.lang3.text.StrMatcher.CharSetMatcher,0,0,0,High
Static Final Class,org.apache.commons.lang3.text.StrMatcher.NoMatcher,0,0,0,High
Static Final Class,org.apache.commons.lang3.text.StrMatcher.StringMatcher,0,0,0,High
Static Final Class,org.apache.commons.lang3.text.StrMatcher.TrimMatcher,0,0,0,High
Public Class,org.apache.commons.lang3.text.StrSubstitutor,38,96,96,Very Low
Generic Parameter,org.apache.commons.lang3.text.StrSubstitutor.StrSubstitutor.V,0,0,0,High
Generic Parameter,org.apache.commons.lang3.text.StrSubstitutor.StrSubstitutor.V,0,0,0,High
Generic Parameter,org.apache.commons.lang3.text.StrSubstitutor.StrSubstitutor.V,0,0,0,High
Generic Parameter,org.apache.commons.lang3.text.StrSubstitutor.replace.V,0,0,0,High
Generic Parameter,org.apache.commons.lang3.text.StrSubstitutor.replace.V,0,0,0,High
Public Class,org.apache.commons.lang3.text.StrTokenizer,66,93,93,Very Low
Public Class,org.apache.commons.lang3.text.WordUtils,0,0,0,High
Public Class,org.apache.commons.lang3.text.translate.AggregateTranslator,0,0,0,High
Public Abstract Class,org.apache.commons.lang3.text.translate.CharSequenceTranslator,0,0,0,High
Public Abstract Class,org.apache.commons.lang3.text.translate.CodePointTranslator,0,0,0,High
Public Class,org.apache.commons.lang3.text.translate.EntityArrays,0,0,0,High
Public Class,org.apache.commons.lang3.text.translate.JavaUnicodeEscaper,0,0,0,High
Public Class,org.apache.commons.lang3.text.translate.LookupTranslator,0,0,0,High
Public Class,org.apache.commons.lang3.text.translate.NumericEntityEscaper,0,71,71,Low
Public Class,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,0,33,33,Medium
Public Class,org.apache.commons.lang3.text.translate.OctalUnescaper,0,0,0,High
Public Class,org.apache.commons.lang3.text.translate.UnicodeEscaper,13,75,75,Low
Public Class,org.apache.commons.lang3.text.translate.UnicodeUnescaper,0,0,0,High
Public Class,org.apache.commons.lang3.time.DateFormatUtils,0,0,0,High
Public Class,org.apache.commons.lang3.time.DateUtils,0,0,0,High
Static Class,org.apache.commons.lang3.time.DateUtils.DateIterator,25,25,25,High
Public Class,org.apache.commons.lang3.time.DurationFormatUtils,0,0,0,High
Static Class,org.apache.commons.lang3.time.DurationFormatUtils.Token,28,33,33,Medium
Public Class,org.apache.commons.lang3.time.FastDateFormat,72,72,72,Low
Anonymous Class,org.apache.commons.lang3.time.FastDateFormat.(Anon_1),0,0,0,High
Public Class,org.apache.commons.lang3.time.FastDateParser,68,82,82,Very Low
Anonymous Class,org.apache.commons.lang3.time.FastDateParser.(Anon_1),0,0,0,High
Anonymous Class,org.apache.commons.lang3.time.FastDateParser.(Anon_2),0,0,0,High
Anonymous Class,org.apache.commons.lang3.time.FastDateParser.(Anon_3),0,0,0,High
Anonymous Class,org.apache.commons.lang3.time.FastDateParser.(Anon_4),0,0,0,High
Private Static Class,org.apache.commons.lang3.time.FastDateParser.CopyQuotedStrategy,0,0,0,High
Private Static Class,org.apache.commons.lang3.time.FastDateParser.NumberStrategy,60,60,60,Low
Private Static Abstract Class,org.apache.commons.lang3.time.FastDateParser.Strategy,0,0,0,High
Private Static Class,org.apache.commons.lang3.time.FastDateParser.TextStrategy,17,17,17,High
Private Static Class,org.apache.commons.lang3.time.FastDateParser.TimeZoneStrategy,33,33,33,Medium
Public Class,org.apache.commons.lang3.time.FastDatePrinter,60,81,81,Very Low
Private Static Class,org.apache.commons.lang3.time.FastDatePrinter.CharacterLiteral,33,33,33,Medium
Private Interface,org.apache.commons.lang3.time.FastDatePrinter.NumberRule,0,0,0,High
Private Static Class,org.apache.commons.lang3.time.FastDatePrinter.PaddedNumberField,50,50,50,Medium
Private Interface,org.apache.commons.lang3.time.FastDatePrinter.Rule,0,0,0,High
Private Static Class,org.apache.commons.lang3.time.FastDatePrinter.StringLiteral,0,0,0,High
Private Static Class,org.apache.commons.lang3.time.FastDatePrinter.TextField,17,17,17,High
Private Static Class,org.apache.commons.lang3.time.FastDatePrinter.TimeZoneDisplayKey,0,0,0,High
Private Static Class,org.apache.commons.lang3.time.FastDatePrinter.TimeZoneNameRule,33,33,33,Medium
Private Static Class,org.apache.commons.lang3.time.FastDatePrinter.TimeZoneNumberRule,33,33,33,Medium
Private Static Class,org.apache.commons.lang3.time.FastDatePrinter.TwelveHourField,0,0,0,High
Private Static Class,org.apache.commons.lang3.time.FastDatePrinter.TwentyFourHourField,0,0,0,High
Private Static Class,org.apache.commons.lang3.time.FastDatePrinter.TwoDigitMonthField,0,0,0,High
Private Static Class,org.apache.commons.lang3.time.FastDatePrinter.TwoDigitNumberField,50,50,50,Medium
Private Static Class,org.apache.commons.lang3.time.FastDatePrinter.TwoDigitYearField,0,0,0,High
Private Static Class,org.apache.commons.lang3.time.FastDatePrinter.UnpaddedMonthField,0,0,0,High
Private Static Class,org.apache.commons.lang3.time.FastDatePrinter.UnpaddedNumberField,50,50,50,Medium
Abstract Generic Class,org.apache.commons.lang3.time.FormatCache,71,86,86,Very Low
Generic Parameter,org.apache.commons.lang3.time.FormatCache.F,0,0,0,High
Private Static Class,org.apache.commons.lang3.time.FormatCache.MultipartKey,33,33,33,Medium
Public Class,org.apache.commons.lang3.time.StopWatch,52,68,68,Low
Public Final Generic Class,org.apache.commons.lang3.tuple.ImmutablePair,40,60,60,Low
Generic Parameter,org.apache.commons.lang3.tuple.ImmutablePair.L,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.ImmutablePair.R,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.ImmutablePair.of.L,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.ImmutablePair.of.R,0,0,0,High
Public Final Generic Class,org.apache.commons.lang3.tuple.ImmutableTriple,40,60,60,Low
Generic Parameter,org.apache.commons.lang3.tuple.ImmutableTriple.L,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.ImmutableTriple.M,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.ImmutableTriple.R,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.ImmutableTriple.of.L,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.ImmutableTriple.of.M,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.ImmutableTriple.of.R,0,0,0,High
Public Generic Class,org.apache.commons.lang3.tuple.MutablePair,44,63,63,Low
Generic Parameter,org.apache.commons.lang3.tuple.MutablePair.L,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.MutablePair.R,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.MutablePair.of.L,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.MutablePair.of.R,0,0,0,High
Public Generic Class,org.apache.commons.lang3.tuple.MutableTriple,56,67,67,Low
Generic Parameter,org.apache.commons.lang3.tuple.MutableTriple.L,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.MutableTriple.M,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.MutableTriple.R,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.MutableTriple.of.L,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.MutableTriple.of.M,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.MutableTriple.of.R,0,0,0,High
Public Abstract Generic Class,org.apache.commons.lang3.tuple.Pair,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.Pair.L,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.Pair.R,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.Pair.of.L,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.Pair.of.R,0,0,0,High
Public Abstract Generic Class,org.apache.commons.lang3.tuple.Triple,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.Triple.L,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.Triple.M,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.Triple.R,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.Triple.of.L,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.Triple.of.M,0,0,0,High
Generic Parameter,org.apache.commons.lang3.tuple.Triple.of.R,0,0,0,High
