Kind,Name,PercentLackOfCohesion,PercentLackOfCohesionModified
Public Class,org.jfree.chart.annotations.junit.TextAnnotationTests,0,0
Public Class,org.jfree.chart.annotations.junit.XYBoxAnnotationTests,0,0
Public Class,org.jfree.chart.annotations.junit.XYDrawableAnnotationTests,0,0
Static Class,org.jfree.chart.annotations.junit.XYDrawableAnnotationTests.TestDrawable,0,0
Public Class,org.jfree.chart.annotations.junit.XYImageAnnotationTests,0,0
Public Class,org.jfree.chart.annotations.junit.XYLineAnnotationTests,0,0
Public Class,org.jfree.chart.annotations.junit.XYPointerAnnotationTests,0,0
Public Class,org.jfree.chart.annotations.junit.XYPolygonAnnotationTests,0,0
Public Class,org.jfree.chart.annotations.junit.XYShapeAnnotationTests,0,0
Public Class,org.jfree.chart.annotations.junit.XYTextAnnotationTests,0,0
Public Class,org.jfree.chart.annotations.junit.XYTitleAnnotationTests,0,0
Public Abstract Class,org.jfree.chart.axis.Axis,93,91
Public Class,org.jfree.chart.axis.AxisCollection,50,50
Public Final Class,org.jfree.chart.axis.AxisLocation,50,33
Public Class,org.jfree.chart.axis.AxisSpace,37,37
Public Class,org.jfree.chart.axis.AxisState,69,62
Public Final Class,org.jfree.chart.axis.CategoryAnchor,25,0
Public Class,org.jfree.chart.axis.CategoryAxis,90,75
Public Class,org.jfree.chart.axis.CategoryAxis3D,0,0
Public Class,org.jfree.chart.axis.CategoryLabelPosition,71,46
Public Class,org.jfree.chart.axis.CategoryLabelPositions,55,0
Public Final Class,org.jfree.chart.axis.CategoryLabelWidthType,25,0
Public Class,org.jfree.chart.axis.CategoryTick,33,33
Public Class,org.jfree.chart.axis.CompassFormat,0,0
Public Class,org.jfree.chart.axis.CyclicNumberAxis,86,77
Protected Static Class,org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,0,0
Public Class,org.jfree.chart.axis.DateAxis,87,70
Private Static Class,org.jfree.chart.axis.DateAxis.DefaultTimeline,0,0
Public Class,org.jfree.chart.axis.DateTick,20,0
Public Final Class,org.jfree.chart.axis.DateTickMarkPosition,25,0
Public Class,org.jfree.chart.axis.DateTickUnit,73,60
Public Class,org.jfree.chart.axis.DateTickUnitType,50,40
Public Class,org.jfree.chart.axis.ExtendedCategoryAxis,48,48
Public Class,org.jfree.chart.axis.LogAxis,85,61
Public Class,org.jfree.chart.axis.LogarithmicAxis,85,79
Public Class,org.jfree.chart.axis.MarkerAxisBand,43,39
Public Class,org.jfree.chart.axis.ModuloAxis,39,24
Public Class,org.jfree.chart.axis.MonthDateFormat,73,64
Public Class,org.jfree.chart.axis.NumberAxis,89,75
Public Class,org.jfree.chart.axis.NumberAxis3D,0,0
Public Class,org.jfree.chart.axis.NumberTick,0,0
Public Class,org.jfree.chart.axis.NumberTickUnit,29,0
Public Class,org.jfree.chart.axis.PeriodAxis,86,78
Public Class,org.jfree.chart.axis.PeriodAxisLabelInfo,74,68
Public Class,org.jfree.chart.axis.QuarterDateFormat,57,14
Public Class,org.jfree.chart.axis.SegmentedTimeline,93,84
Protected Class,org.jfree.chart.axis.SegmentedTimeline.BaseTimelineSegmentRange,0,0
Public Class,org.jfree.chart.axis.SegmentedTimeline.Segment,69,55
Protected Class,org.jfree.chart.axis.SegmentedTimeline.SegmentRange,67,50
Public Class,org.jfree.chart.axis.StandardTickUnitSource,0,0
Public Class,org.jfree.chart.axis.SubCategoryAxis,59,46
Public Class,org.jfree.chart.axis.SymbolAxis,69,61
Public Abstract Class,org.jfree.chart.axis.Tick,59,59
Public Final Class,org.jfree.chart.axis.TickType,25,0
Public Abstract Class,org.jfree.chart.axis.TickUnit,44,44
Public Interface,org.jfree.chart.axis.TickUnitSource,0,0
Public Class,org.jfree.chart.axis.TickUnits,11,0
Public Interface,org.jfree.chart.axis.Timeline,0,0
Public Abstract Class,org.jfree.chart.axis.ValueAxis,93,89
Public Abstract Class,org.jfree.chart.axis.ValueTick,30,20
Public Class,org.jfree.chart.axis.junit.AxisLocationTests,0,0
Public Class,org.jfree.chart.axis.junit.AxisPackageTests,0,0
Public Class,org.jfree.chart.axis.junit.AxisSpaceTests,0,0
Public Class,org.jfree.chart.axis.junit.AxisTests,0,0
Public Class,org.jfree.chart.axis.junit.CategoryAnchorTests,0,0
Public Class,org.jfree.chart.axis.junit.CategoryAxis3DTests,0,0
Public Class,org.jfree.chart.axis.junit.CategoryAxisTests,0,0
Public Class,org.jfree.chart.axis.junit.CategoryLabelPositionTests,0,0
Public Class,org.jfree.chart.axis.junit.CategoryLabelPositionsTests,0,0
Public Class,org.jfree.chart.axis.junit.CategoryLabelWidthTypeTests,0,0
Public Class,org.jfree.chart.axis.junit.CategoryTickTests,0,0
Public Class,org.jfree.chart.axis.junit.CyclicNumberAxisTests,0,0
Public Class,org.jfree.chart.axis.junit.DateAxisTests,0,0
Static Class,org.jfree.chart.axis.junit.DateAxisTests.MyDateAxis,0,0
Public Class,org.jfree.chart.axis.junit.DateTickMarkPositionTests,0,0
Public Class,org.jfree.chart.axis.junit.DateTickTests,0,0
Public Class,org.jfree.chart.axis.junit.DateTickUnitTests,0,0
Public Class,org.jfree.chart.axis.junit.ExtendedCategoryAxisTests,0,0
Public Class,org.jfree.chart.axis.junit.LogAxisTests,0,0
Public Class,org.jfree.chart.axis.junit.LogarithmicAxisTests,50,35
Static Class,org.jfree.chart.axis.junit.LogarithmicAxisTests.MyLogarithmicAxis,0,0
Public Class,org.jfree.chart.axis.junit.MarkerAxisBandTests,0,0
Public Class,org.jfree.chart.axis.junit.ModuloAxisTests,0,0
Public Class,org.jfree.chart.axis.junit.MonthDateFormatTests,0,0
Public Class,org.jfree.chart.axis.junit.NumberAxis3DTests,0,0
Public Class,org.jfree.chart.axis.junit.NumberAxisTests,0,0
Public Class,org.jfree.chart.axis.junit.NumberTickUnitTests,0,0
Public Class,org.jfree.chart.axis.junit.PeriodAxisLabelInfoTests,0,0
Public Class,org.jfree.chart.axis.junit.PeriodAxisTests,80,80
Public Class,org.jfree.chart.axis.junit.QuarterDateFormatTests,0,0
Public Class,org.jfree.chart.axis.junit.SegmentedTimelineTests,87,84
Public Class,org.jfree.chart.axis.junit.SegmentedTimelineTests2,0,0
Public Class,org.jfree.chart.axis.junit.StandardTickUnitSourceTests,0,0
Public Class,org.jfree.chart.axis.junit.SubCategoryAxisTests,0,0
Public Class,org.jfree.chart.axis.junit.SymbolAxisTests,0,0
Public Class,org.jfree.chart.axis.junit.TickUnitsTests,0,0
Public Class,org.jfree.chart.axis.junit.ValueAxisTests,0,0
Public Class,org.jfree.chart.block.AbstractBlock,79,73
Public Interface,org.jfree.chart.block.Arrangement,0,0
Public Interface,org.jfree.chart.block.Block,0,0
Public Class,org.jfree.chart.block.BlockBorder,55,18
Public Class,org.jfree.chart.block.BlockContainer,50,32
Public Interface,org.jfree.chart.block.BlockFrame,0,0
Public Class,org.jfree.chart.block.BlockParams,57,57
Public Class,org.jfree.chart.block.BlockResult,0,0
Public Class,org.jfree.chart.block.BorderArrangement,30,10
Public Class,org.jfree.chart.block.CenterArrangement,0,0
Public Class,org.jfree.chart.block.ColorBlock,25,13
Public Class,org.jfree.chart.block.ColumnArrangement,73,50
Public Class,org.jfree.chart.block.EmptyBlock,0,0
Public Interface,org.jfree.chart.block.EntityBlockParams,0,0
Public Interface,org.jfree.chart.block.EntityBlockResult,0,0
Public Class,org.jfree.chart.block.FlowArrangement,79,39
Public Class,org.jfree.chart.block.GridArrangement,57,14
Public Class,org.jfree.chart.block.LabelBlock,75,62
Public Final Class,org.jfree.chart.block.LengthConstraintType,20,0
Public Class,org.jfree.chart.block.LineBorder,48,30
Public Class,org.jfree.chart.block.RectangleConstraint,60,29
Public Class,org.jfree.chart.block.junit.AbstractBlockTests,0,0
Public Class,org.jfree.chart.block.junit.BlockBorderTests,0,0
Public Class,org.jfree.chart.block.junit.BlockContainerTests,0,0
Public Class,org.jfree.chart.block.junit.BlockPackageTests,0,0
Public Class,org.jfree.chart.block.junit.BorderArrangementTests,0,0
Public Class,org.jfree.chart.block.junit.ColorBlockTests,0,0
Public Class,org.jfree.chart.block.junit.ColumnArrangementTests,0,0
Public Class,org.jfree.chart.block.junit.EmptyBlockTests,0,0
Public Class,org.jfree.chart.block.junit.FlowArrangementTests,0,0
Public Class,org.jfree.chart.block.junit.GridArrangementTests,0,0
Public Class,org.jfree.chart.block.junit.LabelBlockTests,0,0
Public Class,org.jfree.chart.block.junit.LineBorderTests,0,0
Public Class,org.jfree.chart.block.junit.RectangleConstraintTests,0,0
Public Class,org.jfree.chart.demo.BarChartDemo1,0,0
Public Class,org.jfree.chart.demo.PieChartDemo1,0,0
Public Class,org.jfree.chart.demo.TimeSeriesChartDemo1,0,0
Public Interface,org.jfree.chart.editor.ChartEditor,0,0
Public Interface,org.jfree.chart.editor.ChartEditorFactory,0,0
Public Class,org.jfree.chart.editor.ChartEditorManager,25,25
Class,org.jfree.chart.editor.DefaultAxisEditor,87,75
Class,org.jfree.chart.editor.DefaultChartEditor,68,57
Public Class,org.jfree.chart.editor.DefaultChartEditorFactory,0,0
Class,org.jfree.chart.editor.DefaultNumberAxisEditor,73,64
Class,org.jfree.chart.editor.DefaultPlotEditor,82,75
Class,org.jfree.chart.editor.DefaultTitleEditor,73,57
Public Class,org.jfree.chart.encoders.EncoderUtil,0,0
Public Interface,org.jfree.chart.encoders.ImageEncoder,0,0
Public Class,org.jfree.chart.encoders.ImageEncoderFactory,50,0
Public Interface,org.jfree.chart.encoders.ImageFormat,0,0
Public Class,org.jfree.chart.encoders.SunJPEGEncoderAdapter,57,57
Public Class,org.jfree.chart.encoders.SunPNGEncoderAdapter,0,0
Public Class,org.jfree.chart.entity.AxisEntity,70,50
Public Class,org.jfree.chart.entity.AxisLabelEntity,0,0
Public Class,org.jfree.chart.entity.CategoryItemEntity,44,44
Public Class,org.jfree.chart.entity.CategoryLabelEntity,0,0
Public Class,org.jfree.chart.entity.ChartEntity,65,53
Public Interface,org.jfree.chart.entity.EntityCollection,0,0
Public Class,org.jfree.chart.entity.JFreeChartEntity,70,50
Public Class,org.jfree.chart.entity.LegendItemEntity,50,50
Public Class,org.jfree.chart.entity.PieSectionEntity,56,56
Public Class,org.jfree.chart.entity.PlotEntity,70,50
Public Class,org.jfree.chart.entity.StandardEntityCollection,0,0
Public Class,org.jfree.chart.entity.TickLabelEntity,0,0
Public Class,org.jfree.chart.entity.TitleEntity,70,50
Public Class,org.jfree.chart.entity.XYAnnotationEntity,0,0
Public Class,org.jfree.chart.entity.XYItemEntity,59,48
Public Class,org.jfree.chart.entity.junit.CategoryItemEntityTests,0,0
Public Class,org.jfree.chart.entity.junit.CategoryLabelEntityTests,0,0
Public Class,org.jfree.chart.entity.junit.EntityPackageTests,0,0
Public Class,org.jfree.chart.entity.junit.LegendItemEntityTests,0,0
Public Class,org.jfree.chart.entity.junit.PieSectionEntityTests,0,0
Public Class,org.jfree.chart.entity.junit.StandardEntityCollectionTests,0,0
Public Class,org.jfree.chart.entity.junit.TickLabelEntityTests,0,0
Public Class,org.jfree.chart.entity.junit.XYItemEntityTests,0,0
Public Class,org.jfree.chart.event.AnnotationChangeEvent,0,0
Public Interface,org.jfree.chart.event.AnnotationChangeListener,0,0
Public Class,org.jfree.chart.event.AxisChangeEvent,0,0
Public Interface,org.jfree.chart.event.AxisChangeListener,0,0
Public Class,org.jfree.chart.event.ChartChangeEvent,57,29
Public Final Class,org.jfree.chart.event.ChartChangeEventType,20,0
Public Interface,org.jfree.chart.event.ChartChangeListener,0,0
Public Class,org.jfree.chart.event.ChartProgressEvent,57,57
Public Interface,org.jfree.chart.event.ChartProgressListener,0,0
Public Class,org.jfree.chart.event.DatasetChangeInfo,0,0
Public Class,org.jfree.chart.event.MarkerChangeEvent,0,0
Public Interface,org.jfree.chart.event.MarkerChangeListener,0,0
Public Class,org.jfree.chart.event.OverlayChangeEvent,0,0
Public Interface,org.jfree.chart.event.OverlayChangeListener,0,0
Public Class,org.jfree.chart.event.PlotChangeEvent,0,0
Public Interface,org.jfree.chart.event.PlotChangeListener,0,0
Public Class,org.jfree.chart.event.RendererChangeEvent,50,25
Public Interface,org.jfree.chart.event.RendererChangeListener,0,0
Public Class,org.jfree.chart.event.TitleChangeEvent,0,0
Public Interface,org.jfree.chart.event.TitleChangeListener,0,0
Public Class,org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,33,33
Public Class,org.jfree.chart.imagemap.ImageMapUtilities,0,0
Public Class,org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,0,0
Public Class,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,0,0
Public Class,org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,0,0
Public Interface,org.jfree.chart.imagemap.ToolTipTagFragmentGenerator,0,0
Public Interface,org.jfree.chart.imagemap.URLTagFragmentGenerator,0,0
Public Class,org.jfree.chart.imagemap.junit.DynamicDriveToolTipTagFragmentGeneratorTests,0,0
Public Class,org.jfree.chart.imagemap.junit.ImageMapPackageTests,0,0
Public Class,org.jfree.chart.imagemap.junit.ImageMapUtilitiesTests,0,0
Public Class,org.jfree.chart.imagemap.junit.OverLIBToolTipTagFragmentGeneratorTests,0,0
Public Class,org.jfree.chart.imagemap.junit.StandardToolTipTagFragmentGeneratorTests,0,0
Public Class,org.jfree.chart.imagemap.junit.StandardURLTagFragmentGeneratorTests,0,0
Public Class,org.jfree.chart.junit.AreaChartTests,38,38
Static Class,org.jfree.chart.junit.AreaChartTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.BarChart3DTests,38,38
Static Class,org.jfree.chart.junit.BarChart3DTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.BarChartTests,38,38
Static Class,org.jfree.chart.junit.BarChartTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.ChartPackageTests,0,0
Public Class,org.jfree.chart.junit.ChartPanelTests,42,42
Public Class,org.jfree.chart.junit.ChartRenderingInfoTests,0,0
Public Class,org.jfree.chart.junit.GanttChartTests,55,55
Static Class,org.jfree.chart.junit.GanttChartTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.JFreeChartTestSuite,0,0
Public Class,org.jfree.chart.junit.JFreeChartTests,84,84
Public Class,org.jfree.chart.junit.LegendItemCollectionTests,0,0
Public Class,org.jfree.chart.junit.LegendItemTests,0,0
Public Class,org.jfree.chart.junit.LineChart3DTests,38,38
Static Class,org.jfree.chart.junit.LineChart3DTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.LineChartTests,38,38
Static Class,org.jfree.chart.junit.LineChartTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.MeterChartTests,0,0
Public Class,org.jfree.chart.junit.PieChart3DTests,67,67
Static Class,org.jfree.chart.junit.PieChart3DTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.PieChartTests,60,60
Static Class,org.jfree.chart.junit.PieChartTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.ScatterPlotTests,43,43
Static Class,org.jfree.chart.junit.ScatterPlotTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.StackedAreaChartTests,38,38
Static Class,org.jfree.chart.junit.StackedAreaChartTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.StackedBarChart3DTests,38,38
Static Class,org.jfree.chart.junit.StackedBarChart3DTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.StackedBarChartTests,38,38
Static Class,org.jfree.chart.junit.StackedBarChartTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.StandardChartThemeTests,0,0
Public Class,org.jfree.chart.junit.TestUtilities,0,0
Public Class,org.jfree.chart.junit.TimeSeriesChartTests,43,43
Static Class,org.jfree.chart.junit.TimeSeriesChartTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.WaterfallChartTests,43,43
Public Class,org.jfree.chart.junit.XYAreaChartTests,43,43
Static Class,org.jfree.chart.junit.XYAreaChartTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.XYBarChartTests,43,43
Static Class,org.jfree.chart.junit.XYBarChartTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.XYLineChartTests,43,43
Static Class,org.jfree.chart.junit.XYLineChartTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.XYStepAreaChartTests,43,43
Static Class,org.jfree.chart.junit.XYStepAreaChartTests.LocalListener,0,0
Public Class,org.jfree.chart.junit.XYStepChartTests,43,43
Static Class,org.jfree.chart.junit.XYStepChartTests.LocalListener,0,0
Public Abstract Class,org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,57,43
Public Class,org.jfree.chart.labels.AbstractPieItemLabelGenerator,37,30
Public Class,org.jfree.chart.labels.AbstractXYItemLabelGenerator,65,59
Public Class,org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,0,0
Public Class,org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,0,0
Public Class,org.jfree.chart.labels.BubbleXYItemLabelGenerator,50,30
Public Interface,org.jfree.chart.labels.CategoryItemLabelGenerator,0,0
Public Interface,org.jfree.chart.labels.CategorySeriesLabelGenerator,0,0
Public Interface,org.jfree.chart.labels.CategoryToolTipGenerator,0,0
Public Interface,org.jfree.chart.labels.CrosshairLabelGenerator,0,0
Public Class,org.jfree.chart.labels.CustomXYToolTipGenerator,38,13
Public Class,org.jfree.chart.labels.HighLowItemLabelGenerator,29,14
Public Class,org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,0,0
Public Class,org.jfree.chart.labels.IntervalCategoryToolTipGenerator,0,0
Public Class,org.jfree.chart.labels.IntervalXYItemLabelGenerator,0,0
Public Final Class,org.jfree.chart.labels.ItemLabelAnchor,25,0
Public Class,org.jfree.chart.labels.ItemLabelPosition,63,38
Public Class,org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,44,33
Public Interface,org.jfree.chart.labels.PieSectionLabelGenerator,0,0
Public Interface,org.jfree.chart.labels.PieToolTipGenerator,0,0
Public Class,org.jfree.chart.labels.StandardCategoryItemLabelGenerator,0,0
Public Class,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,43,29
Public Class,org.jfree.chart.labels.StandardCategoryToolTipGenerator,0,0
Public Class,org.jfree.chart.labels.StandardCrosshairLabelGenerator,36,21
Public Class,org.jfree.chart.labels.StandardPieSectionLabelGenerator,64,18
Public Class,org.jfree.chart.labels.StandardPieToolTipGenerator,0,0
Public Class,org.jfree.chart.labels.StandardXYItemLabelGenerator,0,0
Public Class,org.jfree.chart.labels.StandardXYSeriesLabelGenerator,43,29
Public Class,org.jfree.chart.labels.StandardXYToolTipGenerator,0,0
Public Class,org.jfree.chart.labels.StandardXYZToolTipGenerator,56,33
Public Class,org.jfree.chart.labels.SymbolicXYItemLabelGenerator,0,0
Public Interface,org.jfree.chart.labels.XYItemLabelGenerator,0,0
Public Interface,org.jfree.chart.labels.XYSeriesLabelGenerator,0,0
Public Interface,org.jfree.chart.labels.XYToolTipGenerator,0,0
Public Interface,org.jfree.chart.labels.XYZToolTipGenerator,0,0
Public Class,org.jfree.chart.labels.junit.BoxAndWhiskerToolTipGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.BoxAndWhiskerXYToolTipGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.BubbleXYItemLabelGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.CustomXYItemLabelGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.HighLowItemLabelGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.IntervalCategoryItemLabelGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.IntervalCategoryToolTipGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.ItemLabelAnchorTests,0,0
Public Class,org.jfree.chart.labels.junit.ItemLabelPositionTests,0,0
Public Class,org.jfree.chart.labels.junit.LabelsPackageTests,0,0
Public Class,org.jfree.chart.labels.junit.MultipleXYSeriesLabelGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.StandardCategoryItemLabelGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.StandardCategorySeriesLabelGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.StandardCategoryToolTipGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.StandardPieSectionLabelGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.StandardPieToolTipGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.StandardXYItemLabelGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.StandardXYSeriesLabelGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.StandardXYToolTipGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.StandardXYZToolTipGeneratorTests,0,0
Public Class,org.jfree.chart.labels.junit.SymbolicXYItemLabelGeneratorTests,0,0
Public Class,org.jfree.chart.needle.ArrowNeedle,20,20
Public Class,org.jfree.chart.needle.LineNeedle,0,0
Public Class,org.jfree.chart.needle.LongNeedle,0,0
Public Abstract Class,org.jfree.chart.needle.MeterNeedle,78,75
Public Class,org.jfree.chart.needle.MiddlePinNeedle,0,0
Public Class,org.jfree.chart.needle.PinNeedle,0,0
Public Class,org.jfree.chart.needle.PlumNeedle,0,0
Public Class,org.jfree.chart.needle.PointerNeedle,0,0
Public Class,org.jfree.chart.needle.ShipNeedle,0,0
Public Class,org.jfree.chart.needle.WindNeedle,0,0
Public Class,org.jfree.chart.needle.junit.ArrowNeedleTests,0,0
Public Class,org.jfree.chart.needle.junit.LineNeedleTests,0,0
Public Class,org.jfree.chart.needle.junit.LongNeedleTests,0,0
Public Class,org.jfree.chart.needle.junit.MeterNeedleTests,0,0
Public Class,org.jfree.chart.needle.junit.MiddlePinNeedleTests,0,0
Public Class,org.jfree.chart.needle.junit.NeedlePackageTests,0,0
Public Class,org.jfree.chart.needle.junit.PinNeedleTests,0,0
Public Class,org.jfree.chart.needle.junit.PlumNeedleTests,0,0
Public Class,org.jfree.chart.needle.junit.PointerNeedleTests,0,0
Public Class,org.jfree.chart.needle.junit.ShipNeedleTests,0,0
Public Class,org.jfree.chart.needle.junit.WindNeedleTests,0,0
Public Class,org.jfree.chart.panel.AbstractMouseHandler,70,70
Public Class,org.jfree.chart.panel.AbstractOverlay,20,0
Public Class,org.jfree.chart.panel.CrosshairOverlay,60,60
Public Interface,org.jfree.chart.panel.Overlay,0,0
Public Class,org.jfree.chart.panel.PanHandler,33,33
Public Class,org.jfree.chart.panel.RegionSelectionHandler,68,60
Public Class,org.jfree.chart.panel.ZoomHandler,40,40
Public Abstract Class,org.jfree.chart.plot.AbstractPieLabelDistributor,0,0
Public Class,org.jfree.chart.plot.CategoryCrosshairState,29,29
Public Class,org.jfree.chart.plot.CategoryMarker,56,44
Public Class,org.jfree.chart.plot.CategoryPlot,97,95
Public Class,org.jfree.chart.plot.CombinedDomainCategoryPlot,71,60
Public Class,org.jfree.chart.plot.CombinedDomainXYPlot,72,63
Public Class,org.jfree.chart.plot.CombinedRangeCategoryPlot,65,58
Public Class,org.jfree.chart.plot.CombinedRangeXYPlot,71,63
Public Class,org.jfree.chart.plot.CompassPlot,89,87
Public Class,org.jfree.chart.plot.Crosshair,83,78
Public Class,org.jfree.chart.plot.CrosshairState,86,78
Public Final Class,org.jfree.chart.plot.DatasetRenderingOrder,20,0
Public Class,org.jfree.chart.plot.DefaultDrawingSupplier,78,75
Public Final Class,org.jfree.chart.plot.DialShape,20,0
Public Interface,org.jfree.chart.plot.DrawingSupplier,0,0
Public Class,org.jfree.chart.plot.FastScatterPlot,89,85
Public Class,org.jfree.chart.plot.IntervalMarker,64,45
Public Abstract Class,org.jfree.chart.plot.Marker,86,78
Public Class,org.jfree.chart.plot.MeterInterval,58,48
Public Class,org.jfree.chart.plot.MeterPlot,89,84
Public Class,org.jfree.chart.plot.MultiplePiePlot,74,68
Public Interface,org.jfree.chart.plot.Pannable,0,0
Public Class,org.jfree.chart.plot.PieLabelDistributor,67,56
Public Final Class,org.jfree.chart.plot.PieLabelLinkStyle,20,0
Public Class,org.jfree.chart.plot.PieLabelRecord,74,74
Public Class,org.jfree.chart.plot.PiePlot,95,93
Public Class,org.jfree.chart.plot.PiePlot3D,71,63
Public Class,org.jfree.chart.plot.PiePlotState,90,90
Public Class,org.jfree.chart.plot.PieSelectionAttributes,91,89
Public Abstract Class,org.jfree.chart.plot.Plot,92,88
Public Final Class,org.jfree.chart.plot.PlotOrientation,20,0
Public Class,org.jfree.chart.plot.PlotRenderingInfo,63,59
Public Class,org.jfree.chart.plot.PlotState,0,0
Public Class,org.jfree.chart.plot.PlotUtilities,0,0
Public Class,org.jfree.chart.plot.PolarPlot,91,88
Public Class,org.jfree.chart.plot.RingPlot,73,67
Public Interface,org.jfree.chart.plot.Selectable,0,0
